bet,net,inst,actual,predicted,probability,oddsH,oddsD,oddsA
Make bet on home team!,-31.4,97,D,H,0.661,1.57,4,6
Make bet on a draw!,36.0,98,D,D,0.13,1.8,3.6,4.5
Make bet on a draw!,-34.6,99,H,D,0.166,1.73,3.75,4.75
Make bet on home team!,-30.6,100,D,H,0.842,1.53,4.2,6
Don't make bet!,0,101,A,A,0,7,4.5,1.44
Make bet on home team!,28.8,102,H,H,0.775,1.44,4.2,8
Don't make bet!,0,103,D,D,0.041,2.25,3.4,3.2
Don't make bet!,0,104,D,D,0.063,2.38,3.5,2.88
Make bet on a draw!,-38.2,105,H,D,0.332,1.91,3.4,4.2
Don't make bet!,0,106,A,D,0.086,2.3,3.4,3.1
Make bet on home team!,-39.0,107,D,H,0.91,1.95,3.5,4
Make bet on home team!,31.4,108,H,H,0.74,1.57,4,6
Make bet on a draw!,-39.0,109,A,D,0.175,1.95,3.6,3.8
Make bet on home team!,38.2,110,H,H,0.496,1.91,3.75,3.8
Make bet on home team!,28.8,111,H,H,0.807,1.44,4.33,7.5
Make bet on home team!,24.0,112,H,H,1,1.2,6.5,15
Make bet on a draw!,-38.2,113,A,D,0.182,1.91,3.6,4
Don't make bet!,0,114,H,A,0,7,4.5,1.44
Make bet on a draw!,-38.2,115,A,D,0.104,1.91,3.6,4
Don't make bet!,0,116,H,D,0.003,4.33,3.6,1.83
Don't make bet!,0,117,H,A,0.009,3.75,3.5,2
Make bet on a draw!,-33.4,118,A,D,0.338,1.67,3.75,5.25
Make bet on a draw!,40.0,119,D,D,0.135,2,3.4,3.8
Don't make bet!,0,120,D,A,0.003,4.75,3.75,1.73
Make bet on home team!,-28.8,121,D,H,0.771,1.44,4.33,7.5
Make bet on home team!,23.4,122,H,H,1,1.17,7.5,15
Don't make bet!,0,123,H,D,0.094,2.2,3.3,3.4
Don't make bet!,0,124,A,D,0.066,2.5,3.3,2.88
Make bet on a draw!,-36.6,125,H,D,0.1,1.83,3.6,4.33
Make bet on home team!,-50.0,126,D,H,0.633,2.5,3.5,2.7
Don't make bet!,0,127,H,D,0.044,2.3,3.5,3
Don't make bet!,0,128,D,D,0.036,3.4,3.5,2.1
Make bet on home team!,33.4,129,H,H,0.856,1.67,3.75,5.5
Make bet on a draw!,-39.0,130,H,D,0.129,1.95,3.4,4
Make bet on a draw!,45.0,131,D,D,0.268,2.25,3.25,3.3
Make bet on home team!,-28.8,132,D,H,0.983,1.44,4.5,7
Make bet on a draw!,50.0,133,D,D,0.099,2.5,3.4,2.75
Make bet on home team!,24.4,134,H,H,1,1.22,6.5,12
Don't make bet!,0,135,D,D,0.085,2,3.4,3.8
Make bet on a draw!,-38.2,136,H,D,0.208,1.91,3.4,4.2
Don't make bet!,0,137,H,D,0.07,2.3,3.4,3.1
Make bet on home team!,48.0,138,H,H,0.708,2.4,3.4,2.88
Don't make bet!,0,139,A,A,0,6,4.2,1.53
Make bet on home team!,-28.8,140,A,H,0.975,1.44,4.5,7
Don't make bet!,0,141,A,A,0.038,2.88,3.3,2.5
Make bet on home team!,28.0,142,H,H,0.835,1.4,4.5,8.5
Make bet on home team!,-30.0,143,D,H,0.801,1.5,4,7
Don't make bet!,0,144,D,D,0.058,1.95,3.5,4
Don't make bet!,0,145,A,A,0,7.5,4.75,1.4
Make bet on a draw!,-42.0,146,A,D,0.259,2.1,3.25,3.75
Don't make bet!,0,147,H,A,0.002,4,3.5,1.91
Make bet on a draw!,-42.0,148,H,D,0.117,2.1,3.3,3.6
Make bet on a draw!,-40.0,149,H,D,0.148,2,3.4,3.75
Make bet on home team!,30.0,150,H,H,0.929,1.5,4.33,6.5
Make bet on a draw!,48.0,151,D,D,0.236,2.4,3.2,3.1
Don't make bet!,0,152,H,D,0.06,1.91,3.6,4
Don't make bet!,0,153,A,A,0.002,4.75,3.5,1.8
Make bet on a draw!,-36.0,154,A,D,0.123,1.8,3.6,4.5
Make bet on a draw!,46.0,155,D,D,0.186,2.3,3.4,3.1
Make bet on a draw!,-40.0,156,H,D,0.124,2,3.5,3.75
