Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA;BSH;BSD;BSA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA
E0;02.10.2011;Swansea;Stoke;2;0;H;1;0;H;9;11;5;6;14;18;6;5;3;5;0;0;Þub.63;Mar.25;Þub.75;02.May;Mar.25;Þub.75;02.Haz;Mar.25;02.Haz;Þub.55;03.Þub;Þub.55;02.Tem;03.Þub;02.Tem;Þub.55;03.Þub;Þub.75;02.Tem;03.Oca;02.Tem;02.Haz;03.Mar;02.Tem;Þub.62;Mar.25;Þub.88;Þub.62;03.Þub;02.Tem;43;02.Aðu;Þub.59;Mar.31;Mar.21;Þub.95;Þub.76;38;Þub.43;Þub.26;01.Tem;Oca.61;22;0;Oca.88;Oca.84;02.Aðu;Oca.99
E0;02.10.2011;Tottenham;Arsenal;2;1;H;1;0;H;16;13;8;7;11;8;9;7;2;1;0;0;02.Oca;03.Nis;03.May;Þub.15;03.Nis;03.Nis;02.Oca;03.Nis;Mar.25;02.Þub;03.Mar;02.Eyl;02.Þub;03.Nis;Mar.25;02.Oca;03.Nis;03.Mar;Þub.15;03.May;03.Þub;02.Oca;03.Nis;03.May;Þub.15;03.May;03.May;02.Oca;Mar.25;03.May;42;02.Þub;02.Ara;Mar.62;03.Nis;03.Tem;Mar.39;37;Oca.71;Oca.66;Þub.28;Þub.17;23;-0.25;Oca.86;Oca.83;02.Eyl;02.May
E0;15.10.2011;Chelsea;Everton;3;1;H;2;0;H;7;9;5;5;13;11;2;2;2;2;0;0;Oca.36;04.May;10;Oca.35;04.May;9;Oca.33;Nis.75;9;Oca.35;04.May;07.Mar;Oca.33;5;9;1.333;04.May;10;Oca.36;Nis.75;08.May;Oca.33;Nis.75;10;Oca.36;5;10;Oca.33;04.May;10;47;Oca.39;Oca.35;05.Oca;Nis.66;11;Eyl.43;41;Oca.74;Oca.67;Þub.28;Þub.14;24;-1.5;Þub.18;02.Aðu;Oca.99;Oca.78
E0;15.10.2011;Liverpool;Man United;1;1;D;0;0;D;14;10;8;3;8;11;8;3;1;3;0;0;3;03.Mar;02.Nis;03.Oca;03.Mar;Þub.35;02.Eyl;Mar.25;02.Nis;02.Tem;03.Þub;02.Nis;03.Þub;3;02.May;02.Eyl;03.Þub;02.Nis;03.Þub;03.Oca;02.May;3;03.Mar;02.Nis;3;03.Mar;02.May;Þub.75;03.Nis;02.Nis;48;03.Þub;Þub.95;03.Nis;Mar.25;Þub.57;Þub.43;44;Oca.98;Oca.91;Oca.94;Oca.87;24;0;Þub.15;02.Aðu;Oca.83;Oca.75
E0;15.10.2011;Man City;Aston Villa;4;1;H;1;0;H;15;8;10;6;10;6;5;1;1;1;0;0;Oca.33;5;10;Oca.34;Nis.75;Aðu.75;Oca.33;Nis.75;9;Oca.35;04.May;07.Mar;Oca.36;04.May;9;1.333;04.May;10;Oca.33;5;08.May;Oca.33;Nis.75;09.May;Oca.36;5;10;Oca.36;Nis.33;9;47;Oca.37;Oca.34;05.Nis;Nis.83;Eki.89;09.May;34;Oca.68;01.Haz;Þub.42;Þub.25;26;-1.5;02.Aðu;02.Oca;Oca.89;Oca.84
E0;15.10.2011;Norwich;Swansea;3;1;H;2;1;H;15;12;8;4;6;5;4;4;0;1;0;0;02.Þub;03.Mar;03.Nis;Þub.15;03.Mar;03.Mar;02.Þub;Mar.25;03.Þub;02.Oca;03.Mar;03.Oca;02.Þub;03.Mar;Mar.25;02.Þub;03.Mar;03.Þub;Þub.15;03.Mar;03.Nis;02.Þub;Mar.25;03.Nis;02.Þub;03.Nis;03.May;02.Þub;03.Þub;03.Þub;48;Þub.25;Þub.19;Mar.46;Mar.28;03.Haz;Mar.33;45;02.Oca;02.Oca;Oca.86;Oca.78;25;-0.25;Oca.94;01.Eyl;02.Oca;Oca.96
E0;15.10.2011;QPR;Blackburn;1;1;D;1;1;D;12;10;6;9;10;13;5;7;3;2;0;0;Oca.83;03.May;04.May;01.Aðu;03.Nis;04.May;01.Aðu;03.Nis;04.May;Oca.95;03.Mar;03.Haz;Oca.91;03.Nis;4;Oca.85;03.Nis;04.Þub;Oca.85;03.May;Nis.33;Oca.91;03.Nis;04.Þub;Oca.85;03.May;04.Haz;Oca.83;03.Nis;Nis.33;47;Oca.95;Oca.85;Mar.65;Mar.42;04.Aðu;Nis.37;43;2;Oca.92;Oca.95;Oca.86;26;-0.5;Oca.93;Oca.85;02.Tem;02.Oca
E0;15.10.2011;Stoke;Fulham;2;0;H;0;0;D;14;4;6;1;14;15;5;2;4;4;0;0;02.Þub;03.Þub;03.May;02.Oca;Mar.25;Mar.45;02.May;03.Þub;03.Haz;2;03.Þub;03.Nis;2;03.Mar;03.Aðu;Þub.15;03.Þub;03.Nis;Þub.15;03.Þub;03.Haz;02.Oca;Mar.25;Mar.75;02.Þub;Mar.25;Mar.75;2;Mar.25;Mar.75;48;Þub.24;Þub.14;03.Mar;Mar.21;03.Aðu;Mar.53;39;Þub.38;Þub.21;01.Tem;Oca.63;24;-0.25;Oca.93;Oca.87;02.Nis;Oca.99
E0;15.10.2011;Wigan;Bolton;1;3;A;1;2;A;13;14;9;11;16;14;5;4;4;4;0;0;02.Mar;03.Mar;03.Þub;02.Mar;03.Mar;03.Þub;Þub.25;Mar.25;03.Oca;02.Mar;03.Þub;02.Aðu;Þub.25;03.Mar;03.Þub;02.Mar;03.Mar;02.Eyl;02.Mar;03.Mar;03.Oca;02.Mar;03.Mar;03.Þub;Þub.38;03.Nis;03.Þub;02.Þub;03.Þub;03.Þub;48;Þub.38;Þub.29;Mar.42;Mar.28;03.Mar;03.Ara;44;2;01.Eyl;2;Oca.88;25;-0.25;02.Haz;02.Oca;Oca.88;Oca.85
E0;16.10.2011;Arsenal;Sunderland;2;1;H;1;1;D;20;8;11;4;9;19;9;2;3;3;0;0;Oca.44;Nis.33;07.May;Oca.42;04.Mar;07.May;Oca.42;Nis.25;07.May;Oca.45;03.Eyl;06.May;01.Nis;04.May;8;01.Nis;04.May;07.May;Oca.44;Nis.33;7;01.Nis;Nis.33;8;Oca.44;04.May;08.May;Oca.44;4;07.May;48;Oca.49;Oca.44;Nis.63;Nis.28;08.May;Tem.63;38;Oca.72;Oca.66;Þub.28;Þub.16;24;-1.25;Þub.13;02.Tem;Oca.86;01.Aðu
E0;16.10.2011;Newcastle;Tottenham;2;2;D;0;1;A;12;11;7;8;11;15;5;2;1;2;0;0;3;03.Mar;02.Nis;02.Aðu;03.May;Þub.45;Þub.75;Mar.25;Þub.45;02.Haz;03.Þub;02.May;Þub.75;03.Mar;02.May;Þub.85;03.Mar;02.Nis;02.Aðu;03.May;02.Nis;3;03.Mar;02.Nis;3;03.Nis;02.Nis;Þub.75;Mar.25;02.May;47;Mar.13;02.Eyl;03.May;Mar.29;02.May;Þub.42;42;Oca.88;Oca.81;02.Haz;Oca.97;23;0;Þub.25;02.Ara;01.Aðu;Oca.73
E0;16.10.2011;West Brom;Wolves;2;0;H;1;0;H;17;13;11;10;14;12;2;11;0;1;0;0;2;03.Mar;4;2;Mar.25;03.Aðu;Oca.95;03.Nis;Mar.75;02.Oca;03.Þub;03.Þub;02.May;03.Mar;Mar.75;2;03.Nis;03.Haz;02.May;03.Nis;03.Haz;2;03.Nis;03.Aðu;2;03.May;4;2;Mar.25;Mar.75;48;02.Oca;02.Oca;Mar.51;Mar.32;04.Ara;Mar.83;44;02.Þub;Oca.93;Oca.92;Oca.84;27;-0.5;02.Nis;Oca.99;01.Eyl;Oca.86
E0;22.10.2011;Aston Villa;West Brom;1;2;A;1;1;D;3;8;0;5;11;8;3;8;2;3;1;0;2;03.Mar;4;01.Eyl;03.Nis;4;2;03.Þub;Mar.75;2;03.Mar;03.Mar;Oca.91;03.Nis;4;2;Mar.25;03.Aðu;2;03.Mar;Mar.75;2;Mar.25;4;02.May;03.Mar;4;2;Mar.25;Mar.75;48;02.Kas;2;03.Nis;Mar.29;Nis.33;Mar.86;45;02.Tem;Oca.96;Oca.91;Oca.82;27;-0.5;02.Kas;02.May;Oca.87;Oca.81
E0;22.10.2011;Bolton;Sunderland;0;2;A;0;0;D;15;18;8;10;15;14;2;11;0;3;0;0;02.Þub;03.Þub;03.May;02.Oca;Mar.25;Mar.45;Þub.15;Mar.25;03.Mar;02.Þub;03.Þub;3;02.Þub;03.Mar;03.Mar;Þub.15;03.Þub;03.Nis;02.Mar;03.Þub;03.Þub;Þub.15;03.Nis;03.Nis;Þub.25;03.Mar;03.May;02.Þub;03.Þub;03.Þub;48;Þub.32;Þub.21;03.Nis;Mar.23;03.Haz;Mar.33;45;2;Oca.91;Oca.99;Oca.87;25;-0.25;Oca.99;Oca.93;2;Oca.93
E0;22.10.2011;Liverpool;Norwich;1;1;D;1;0;H;25;12;15;10;6;8;10;3;0;1;0;0;Oca.29;05.May;11;Oca.29;5;10.May;01.Mar;Nis.75;10;Oca.33;04.Haz;07.Aðu;01.Mar;5;10;1.285;5;11;Oca.33;Nis.75;9;01.Mar;May.25;11;01.Mar;05.May;12;Oca.29;5;11;48;Oca.33;Oca.29;May.72;May.16;12.Ara;Eki.77;41;01.Tem;Oca.64;02.Nis;02.Þub;29;-1.5;Oca.91;Oca.86;02.May;Oca.99
E0;22.10.2011;Newcastle;Wigan;1;0;H;0;0;D;13;12;10;5;7;22;7;3;3;2;0;0;Oca.57;03.Aðu;06.May;Oca.57;Mar.75;6;Oca.57;03.Haz;6;01.Haz;03.Haz;5;Oca.62;03.Haz;6;1.571;Mar.75;6;Oca.62;Mar.75;05.May;01.Haz;03.Eyl;May.75;Oca.57;4;06.May;Oca.57;03.May;06.May;48;Oca.62;Oca.58;04.Haz;Mar.75;Haz.95;06.Eyl;45;Oca.91;Oca.85;02.Mar;Oca.93;28;-1;02.Oca;02.May;Oca.86;Oca.81
