Date,HomeTeam,AwayTeam,Result,Home Win,Draw,Away Win,Net,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA
26/08/12,Liverpool,Man City,D,,,,,3.1,3.4,2.3,3,3.5,2.35,3,3.5,2.35,2.75,3.2,2.35,3.1,3.3,2.25,3.14,3.46,2.42,2.9,3.4,2.38,3,3.3,2.38,3.1,3.4,2.4,3,3.4,2.3
26/08/12,Stoke,Arsenal,D,,,,,3.5,3.4,2.1,3.7,3.3,2.1,3.7,3.3,2.1,3.2,3.2,2.1,3.75,3.3,2,3.57,3.46,2.21,3.3,3.3,2.2,3.6,3.4,2.05,3.6,3.4,2.2,3.5,3.25,2.1
1/9/2012,Man City,QPR,H,,,,,1.18,7,15,1.18,6.5,14.5,,,,1.2,5.5,12,1.2,6.5,13,1.22,7.65,15,1.2,7,11,1.2,6.5,13,1.2,7.5,15,1.2,7,13
1/9/2012,Swansea,Sunderland,D,,,,,2.2,3.3,3.4,2.2,3.2,3.3,2.2,3.2,3.3,2.2,3.2,3,2.2,3.3,3.3,2.17,3.47,3.67,2.15,3.25,3.5,2.2,3.3,3.4,2.15,3.4,3.6,2.2,3.25,3.4
1/9/2012,Tottenham,Norwich,D,,,,,1.36,5,8.5,1.36,4.75,8,1.36,4.75,8,1.4,4.1,7,1.4,4.5,8,1.38,5.35,9,1.4,5,7,1.36,4.8,8,1.36,5.25,9,1.4,4.75,7.5
1/9/2012,West Brom,Everton,H,,,,,3,3.3,2.38,2.9,3.25,2.5,2.9,3.25,2.5,2.6,3.2,2.5,2.88,3.3,2.4,3.06,3.38,2.52,2.9,3.4,2.38,2.88,3.25,2.5,3.1,3.3,2.5,2.8,3.3,2.5
1/9/2012,West Ham,Fulham,H,,,,,2.5,3.25,2.88,2.55,3.3,2.8,2.55,3.3,2.8,2.4,3.2,2.7,2.5,3.25,2.8,2.53,3.48,2.96,2.4,3.4,2.88,2.5,3.4,2.8,2.5,3.4,2.9,2.62,3.25,2.7
1/9/2012,Wigan,Stoke,D,,,,,2.25,3.25,3.3,2.2,3.2,3.3,2.2,3.2,3.3,2.3,3.2,2.8,2.25,3.25,3.25,2.26,3.35,3.57,2.25,3.2,3.3,2.3,3.2,3.3,2.25,3.3,3.5,2.25,3.2,3.3
2/9/2012,Liverpool,Arsenal,A,,,,,2,3.5,3.75,2.05,3.4,3.75,2.05,3.4,3.75,2.1,3.2,3.2,2.1,3.2,3.6,2.1,3.54,3.82,2.05,3.4,3.6,2.05,3.25,4,2.05,3.5,3.9,2.1,3.3,3.6
2/9/2012,Newcastle,Aston Villa,D,,,,,1.62,3.75,6,1.6,3.9,5.25,1.6,3.9,5.25,1.6,3.6,5,1.62,3.75,5.5,1.63,4.08,6.21,1.67,3.8,5,1.62,4,5.5,1.65,4,6,1.62,3.75,5.5
2/9/2012,Southampton,Man United,A,,,,,6,4.2,1.53,6,4,1.53,6,4,1.53,5.5,3.9,1.5,6.5,4,1.53,6.25,4.48,1.57,5,4.2,1.6,6.5,4.33,1.5,6.25,4.33,1.57,6.5,4,1.53
15/09/12,Arsenal,Southampton,H,,,,,1.36,5,8.5,1.34,4.75,8.75,1.34,4.75,8.75,1.33,4.6,7.8,1.36,4.5,9,1.39,5.26,9.09,1.4,4,10,1.33,5,9,1.36,5.2,10,1.29,5,10
15/09/12,Aston Villa,Swansea,H,,,,,2.38,3.25,3.1,2.3,3.3,3,2.3,3.3,3,2.3,3.2,2.8,2.25,3.3,3.1,2.44,3.32,3.23,2.4,3.1,3.1,2.3,3.3,3.2,2.4,3.3,3.2,2.4,3.25,2.88
15/09/12,Fulham,West Brom,H,,,,,2.1,3.4,3.5,1.95,3.4,3.8,1.95,3.4,3.8,1.9,3.3,3.7,2,3.4,3.75,2.13,3.4,3.9,2.15,3.1,3.6,2,3.25,4,2.1,3.3,3.9,2,3.4,3.5
15/09/12,Man United,Wigan,H,,,,,1.25,6,12,1.25,5.5,11.5,1.25,5.5,11.5,1.2,5.5,12,1.22,6,12,1.28,6.22,12.9,1.29,5,12,1.22,6,13,1.29,6.25,12,1.25,5,15
15/09/12,Norwich,West Ham,D,,,,,2.38,3.4,3,2.3,3.4,3.1,2.3,3.4,3.1,2.3,3.2,2.8,2.3,3.4,3,2.4,3.49,3.17,2.5,3.1,2.9,2.25,3.4,3.2,2.4,3.4,3.12,2.38,3.25,2.88
15/09/12,QPR,Chelsea,D,,,,,4.5,3.5,1.83,4.75,3.5,1.75,4.75,3.5,1.75,4.3,3.4,1.75,4.5,3.5,1.8,4.5,3.69,1.89,4.5,3.1,1.91,4.33,3.6,1.83,4.5,3.6,1.87,4.5,3.6,1.73
15/09/12,Stoke,Man City,D,,,,,5,3.6,1.73,5,3.5,1.7,5,3.5,1.7,4.4,3.5,1.7,5,3.5,1.73,5.3,3.78,1.76,5.5,3.2,1.75,5.25,3.6,1.73,5.25,3.75,1.75,5,3.6,1.67
15/09/12,Sunderland,Liverpool,D,,,,,3.4,3.3,2.2,3.3,3.3,2.25,3.3,3.3,2.25,3.2,3.2,2.1,3.2,3.25,2.25,3.52,3.52,2.21,3.2,3.1,2.3,3.2,3.3,2.3,3.4,3.4,2.25,3,3.25,2.3
16/09/12,Reading,Tottenham,A,,,,,3.75,3.5,2,3.8,3.5,2,3.8,3.5,2,3.6,3.3,1.95,3.6,3.5,2,3.75,3.66,2.08,3.75,3.1,2.1,3.75,3.4,2.1,3.7,3.5,2.05,3.5,3.4,2.05
17/09/12,Everton,Newcastle,D,,,,,1.73,3.6,5,1.75,3.7,4.75,1.75,3.7,4.75,1.85,3.4,3.8,1.85,3.4,4.33,1.77,3.74,5.33,1.8,3.2,5,1.83,3.5,4.5,1.75,3.7,5.2,1.83,3.4,4.33
22/09/12,Chelsea,Stoke,H,,,,,1.36,4.75,9,1.36,4.5,8.75,1.36,4.5,8.75,1.3,4.8,8.5,1.29,4.5,8,1.4,5.09,9.15,1.4,4,10,1.33,5,9.5,1.36,5,10.5,1.33,5,8.5
22/09/12,Southampton,Aston Villa,H,,,,,2.4,3.3,3,2.4,3.25,2.9,2.4,3.25,2.9,2.4,3.2,2.7,2.38,3.2,2.6,2.45,3.38,3.16,2.5,3,3,2.4,3.3,3,2.5,3.4,3,2.4,3.3,2.88
22/09/12,Swansea,Everton,A,,,,,3,3.3,2.4,3.1,3.3,2.4,3.1,3.3,2.4,2.6,3.2,2.5,2.5,3.25,2.38,3.23,3.34,2.43,3,3.1,2.45,2.88,3.3,2.4,3,3.4,2.45,2.9,3.25,2.4
22/09/12,West Brom,Reading,H,,,,,1.73,3.75,4.75,1.75,3.5,4.75,1.75,3.5,4.75,1.7,3.5,4.4,1.8,3.5,3.5,1.83,3.84,4.7,1.85,3.3,4.5,1.83,3.5,4.5,1.8,3.8,4.75,1.8,3.5,4.5
22/09/12,West Ham,Sunderland,D,,,,,2.1,3.3,3.6,2.15,3.5,3.5,2.15,3.5,3.5,2.15,3.2,3.1,2.25,3.25,2.75,2.19,3.39,3.72,2.25,3.1,3.4,2.25,3.3,3.3,2.2,3.3,3.6,2.2,3.3,3.3
22/09/12,Wigan,Fulham,A,,,,,2.4,3.3,3,2.3,3.2,3.1,2.3,3.2,3.1,2.4,3.2,2.7,2.38,3.2,2.6,2.37,3.44,3.24,2.5,3,3,2.5,3.3,2.88,2.38,3.3,3.25,2.4,3.25,2.9
23/09/12,Liverpool,Man United,A,,,,,2.7,3.3,2.63,2.75,3.4,2.6,2.75,3.4,2.6,2.65,3.2,2.45,2.7,3.2,2.25,2.74,3.37,2.79,2.8,2.88,2.8,2.88,3.3,2.5,2.75,3.3,2.75,2.7,3.2,2.6
23/09/12,Man City,Arsenal,D,,,,,1.75,3.6,4.75,1.8,3.6,5,1.8,3.6,5,1.75,3.4,4.3,1.62,3.5,4.5,1.74,4.02,5.04,1.8,3.5,4.5,1.8,3.8,4,1.8,3.9,4.8,1.8,3.5,4.5
23/09/12,Newcastle,Norwich,H,,,,,1.8,3.6,4.5,1.78,3.4,4.6,1.78,3.4,4.6,1.65,3.5,4.6,1.53,3.6,5,1.85,3.75,4.6,1.85,3.3,4.5,1.62,4,5,1.83,3.7,4.75,1.62,4,5
23/09/12,Tottenham,QPR,H,,,,,1.44,4.33,7.5,1.45,4,7.75,1.45,4,7.75,1.45,3.9,6.5,1.44,3.75,6,1.52,4.51,7.15,1.53,4,6,1.44,4.5,7,1.5,4.4,7,1.44,4.33,7
29/09/12,Arsenal,Chelsea,A,,,,,2.1,3.4,3.5,2.15,3.5,3.5,2.15,3.5,3.5,2.25,3.2,2.9,2.1,3.3,3.4,2.21,3.46,3.59,2.25,3.1,3.4,2.1,3.4,3.4,2.2,3.4,3.6,2.2,3.4,3.2
29/09/12,Everton,Southampton,H,,,,,1.4,4.75,8,1.42,4.2,7.75,1.42,4.2,7.75,1.42,4,7,1.44,4.2,7.5,1.43,5.01,8.34,1.44,4.2,7.5,1.4,4.5,7.5,1.44,4.75,8.5,1.4,4.5,7.5
29/09/12,Fulham,Man City,A,,,,,4.33,3.6,1.83,4.5,3.6,1.85,4.5,3.6,1.85,4,3.4,1.8,4.5,3.5,1.8,4.62,3.75,1.86,4.5,3.1,1.91,4.5,3.6,1.8,4.5,3.6,1.85,4.33,3.5,1.83
29/09/12,Man United,Tottenham,A,,,,,1.57,4,6,1.55,3.75,6.25,1.55,3.75,6.25,1.45,3.9,6.5,1.53,4,6,1.61,4.34,5.88,1.62,3.6,6,1.57,4,6,1.6,4.2,6,1.53,4,6
29/09/12,Norwich,Liverpool,A,,,,,4.75,3.75,1.73,4.75,3.5,1.75,4.75,3.5,1.75,3.8,3.4,1.85,4.33,3.5,1.83,4.9,3.87,1.79,4.8,3.2,1.83,4.5,3.6,1.8,4.8,3.75,1.75,4.33,3.5,1.83
29/09/12,Reading,Newcastle,D,,,,,2.88,3.3,2.5,2.95,3.25,2.35,2.95,3.25,2.35,2.8,3.2,2.3,2.9,3.3,2.38,3.01,3.41,2.53,3,3,2.5,3,3.3,2.4,3,3.4,2.5,2.9,3.25,2.4
29/09/12,Stoke,Swansea,H,,,,,1.91,3.4,4.2,1.85,3.3,4.4,1.85,3.3,4.4,1.9,3.3,3.7,1.91,3.4,4,1.93,3.5,4.65,1.95,3.1,4.33,1.83,3.5,4.5,1.91,3.4,4.6,1.91,3.25,4.33
29/09/12,Sunderland,Wigan,H,,,,,2,3.4,3.8,1.95,3.4,3.8,1.95,3.4,3.8,1.9,3.3,3.7,1.91,3.4,4,2.05,3.48,4.08,2.1,3.1,3.75,1.91,3.5,4,2.05,3.4,4,1.91,3.4,4
30/09/12,Aston Villa,West Brom,D,,,,,2.4,3.3,3,2.4,3.3,3.1,2.4,3.3,3.1,2.6,3.1,2.6,2.4,3.3,2.88,2.4,3.38,3.25,2.5,3,3,2.5,3.4,2.8,2.5,3.3,3.12,2.5,3.2,2.88
1/10/2012,QPR,West Ham,A,,,,,2.05,3.4,3.75,2,3.3,3.75,2,3.3,3.75,2.2,3.2,3,2.05,3.3,3.6,2.17,3.45,3.71,2.15,3.1,3.6,2.1,3.4,3.5,2.15,3.4,3.7,2.1,3.25,3.5
6/10/2012,Chelsea,Norwich,H,,,,,1.22,6.5,12,1.22,5.75,13,1.22,5.75,13,1.2,5.7,13,1.22,6,13,1.23,7.11,15.01,1.25,5,15,1.2,6,15,1.22,7,15,1.22,6,13
6/10/2012,Man City,Sunderland,H,,,,,1.29,5.5,11,1.25,5.25,12.5,1.25,5.25,12.5,1.28,5,10,1.29,5,11,1.29,5.99,12.98,1.3,5,11,1.22,6,15,1.29,6,13,1.22,6,13
6/10/2012,Swansea,Reading,D,,,,,1.91,3.6,4,1.9,3.5,3.9,1.9,3.5,3.9,1.8,3.45,4.25,2,3.3,3.75,1.98,3.67,4.12,2.05,3.1,4,2,3.4,3.8,2,3.5,4,2,3.4,3.75
6/10/2012,West Brom,QPR,H,,,,,1.83,3.75,4.2,1.87,3.5,4,1.87,3.5,4,1.85,3.4,4.1,1.83,3.6,4.2,1.85,3.81,4.55,1.91,3.2,4.33,1.83,3.6,4.33,1.87,3.7,4.4,1.91,3.4,4
6/10/2012,West Ham,Arsenal,A,,,,,4,3.6,1.91,3.9,3.7,1.95,3.9,3.7,1.95,4,3.45,1.85,4.2,3.5,1.83,3.98,3.68,2.01,4,3.2,2,4,3.6,1.91,3.9,3.6,2,3.75,3.4,2
6/10/2012,Wigan,Everton,D,,,,,4.2,3.4,1.91,3.75,3.3,2,3.75,3.3,2,3.5,3.3,2.05,3.75,3.4,2,4.21,3.63,1.97,4,3.1,2.05,3.5,3.3,2.1,4.1,3.5,2,3.75,3.4,2
7/10/2012,Liverpool,Stoke,D,,,,,1.44,4.33,7.5,1.53,4.1,7,1.53,4.1,7,1.5,3.9,6.3,1.5,4,7,1.48,4.47,8.16,1.53,3.75,7,1.44,4,8,1.5,4.33,8,1.5,4,7
7/10/2012,Newcastle,Man United,A,,,,,4.2,3.75,1.83,3.9,3.5,1.9,3.9,3.5,1.9,3.85,3.4,1.9,4,3.4,1.91,4.1,3.89,1.93,4.33,3.1,1.95,3.8,3.6,1.95,4.1,3.75,1.92,4,3.4,1.91
7/10/2012,Southampton,Fulham,D,,,,,2.75,3.3,2.6,2.75,3.3,2.7,2.75,3.3,2.7,2.65,3.3,2.5,2.62,3.4,2.6,2.74,3.44,2.74,2.7,3.1,2.7,2.8,3.4,2.5,2.7,3.4,2.7,2.6,3.4,2.6
7/10/2012,Tottenham,Aston Villa,H,,,,,1.44,4.33,7.5,1.48,4.33,6,1.48,4.33,6,1.43,4.1,7.3,1.44,4,8,1.46,4.77,8.07,1.5,3.6,8,1.44,4.5,6.5,1.45,4.6,8,1.44,4.33,7
20/10/12,Fulham,Aston Villa,H,,,,,1.8,3.6,4.5,1.75,3.6,4.5,1.75,3.6,4.5,1.85,3.45,4,1.8,3.5,4.5,1.86,3.84,4.49,1.85,3.3,4.5,1.8,3.6,4.5,1.83,3.75,4.5,1.83,3.5,4.33
20/10/12,Liverpool,Reading,H,,,,,1.33,5,10,1.3,5.25,9,1.3,5.25,9,1.35,4.7,7.9,1.36,4.5,9,1.35,5.48,10.18,1.4,4.2,9,1.33,4.8,9.5,1.36,5.25,10,1.33,5,8.5
20/10/12,Man United,Stoke,H,,,,,1.29,5.5,11,1.3,5,9.75,1.3,5,9.75,1.28,5.1,10,1.29,5,11,1.31,5.79,12.1,1.33,4.5,11,1.29,5.5,11,1.3,5.75,12,1.29,5,11
20/10/12,Norwich,Arsenal,H,,,,,6,4.2,1.53,6,4,1.53,6,4,1.53,5.2,3.8,1.6,6,4,1.53,6.2,4.5,1.57,6,3.8,1.57,6,4,1.53,6.5,4.5,1.55,6,4,1.53
20/10/12,Swansea,Wigan,H,,,,,2.1,3.4,3.5,2,3.5,3.9,2,3.5,3.9,1.9,3.4,3.85,2.1,3.3,3.5,2.11,3.56,3.76,2.15,3.2,3.5,2,3.4,3.75,2.1,3.5,3.75,2,3.3,3.75
20/10/12,Tottenham,Chelsea,A,,,,,2.5,3.4,2.75,2.6,3.4,2.75,2.6,3.4,2.75,2.6,3.2,2.6,2.5,3.3,2.62,2.58,3.46,2.91,2.7,3,2.8,2.5,3.4,2.75,2.6,3.4,2.8,2.6,3.25,2.7
20/10/12,West Brom,Man City,A,,,,,5,3.75,1.7,5,3.5,1.7,5,3.5,1.7,4.5,3.5,1.75,5,3.75,1.67,5.45,4.05,1.69,5,3.4,1.75,4.8,3.8,1.73,5.25,3.8,1.73,4.75,3.6,1.75
20/10/12,West Ham,Southampton,H,,,,,1.83,3.75,4.2,1.83,3.5,4.2,1.83,3.5,4.2,1.85,3.45,4,1.91,3.4,4,1.84,3.81,4.66,1.91,3.4,4,1.83,3.8,4,1.87,3.7,4.6,1.83,3.5,4.33
21/10/12,QPR,Everton,D,,,,,3.25,3.4,2.2,3.3,3.4,2.25,3.3,3.4,2.25,3.6,3.3,2,3.2,3.3,2.2,3.42,3.57,2.23,3.2,3.2,2.3,3.4,3.3,2.2,3.4,3.5,2.2,3.2,3.25,2.25
21/10/12,Sunderland,Newcastle,D,,,,,2.5,3.3,2.88,2.5,3.3,2.95,2.5,3.3,2.95,2.4,3.3,2.75,2.5,3.25,2.8,2.56,3.37,2.99,2.62,3,2.9,2.5,3.3,2.88,2.55,3.3,3,2.5,3.2,2.8
27/10/12,Arsenal,QPR,H,,,,,1.36,5,8.5,1.35,4.75,8.25,1.35,4.75,8.25,1.35,4.8,7.6,1.33,5,9,1.4,5.18,9,1.33,4.5,9,1.33,5.25,9,1.4,5,9,1.33,5,9
27/10/12,Aston Villa,Norwich,D,,,,,2,3.5,3.75,2,3.5,3.9,2,3.5,3.9,1.85,3.45,4,1.91,3.4,4,2.01,3.51,4.2,1.91,3.2,4,1.9,3.75,4,2,3.4,4.1,1.91,3.4,4
27/10/12,Man City,Swansea,H,,,,,1.22,6,15,1.2,6.25,12.5,1.2,6.25,12.5,1.22,5.5,12,1.22,6,13,1.25,6.67,14.1,1.22,6,10,1.2,6.5,15,1.25,6.5,15,1.22,6,13
27/10/12,Reading,Fulham,D,,,,,2.75,3.4,2.5,2.9,3.3,2.55,2.9,3.3,2.55,2.7,3.2,2.5,2.75,3.3,2.5,2.89,3.57,2.54,2.7,3.2,2.5,2.8,3.4,2.5,2.8,3.5,2.55,2.8,3.25,2.5
27/10/12,Stoke,Sunderland,D,,,,,1.95,3.3,4.2,2,3.4,4.1,2,3.4,4.1,2.1,3.3,3.3,2,3.3,3.75,1.97,3.4,4.58,1.91,3.3,3.9,2,3.3,4,1.95,3.4,4.5,2,3.4,3.75
27/10/12,Wigan,West Ham,H,,,,,2.25,3.4,3.2,2.35,3.3,3.2,2.35,3.3,3.2,2.3,3.3,2.9,2.25,3.3,3.1,2.25,3.59,3.37,2.25,3.2,3.1,2.25,3.4,3.2,2.3,3.5,3.25,2.3,3.2,3.2
28/10/12,Chelsea,Man United,A,,,,,2.4,3.4,2.9,2.35,3.4,3.1,2.35,3.4,3.1,2.4,3.3,2.75,2.4,3.3,2.88,2.43,3.49,3.1,2.3,3.3,2.9,2.3,3.5,3,2.45,3.4,3,2.38,3.25,3
28/10/12,Everton,Liverpool,D,,,,,2.6,3.3,2.75,2.75,3.3,2.65,2.75,3.3,2.65,2.4,3.3,2.75,2.6,3.2,2.7,2.69,3.37,2.84,2.6,3.2,2.6,2.75,3.3,2.6,2.62,3.3,2.88,2.62,3.25,2.62
28/10/12,Newcastle,West Brom,H,,,,,2,3.5,3.75,2,3.5,3.9,2,3.5,3.9,1.9,3.4,3.85,1.91,3.4,4,2.01,3.73,3.93,2,3.3,3.6,1.91,3.6,4,2,3.6,3.9,1.91,3.4,4
28/10/12,Southampton,Tottenham,A,,,,,4.2,3.75,1.83,4.5,3.6,1.85,4.5,3.6,1.85,3.7,3.5,1.9,4.2,3.6,1.83,4.35,4.03,1.85,4,3.4,1.83,4,3.8,1.83,4.33,3.9,1.83,4.33,3.6,1.8
3/11/2012,Fulham,Everton,D,,,,,2.75,3.4,2.5,2.65,3.25,2.6,2.65,3.25,2.6,2.5,3.3,2.65,2.62,3.3,2.6,2.82,3.5,2.63,2.62,3.4,2.6,2.75,3.4,2.5,2.75,3.4,2.62,2.62,3.25,2.62
3/11/2012,Man United,Arsenal,H,,,,,1.7,3.8,5,1.7,4,5,1.7,4,5,1.65,3.6,5.1,1.67,3.75,5,1.74,4.06,5.07,1.67,4,4.8,1.67,3.75,5,1.75,3.8,5.25,1.62,3.8,5.5
3/11/2012,Norwich,Stoke,H,,,,,2.6,3.3,2.75,2.6,3.3,2.8,2.6,3.3,2.8,2.6,3.2,2.6,2.6,3.25,2.7,2.67,3.36,2.87,2.6,3.2,2.75,2.6,3.3,2.75,2.62,3.3,2.88,2.62,3.25,2.62
3/11/2012,Sunderland,Aston Villa,A,,,,,2.1,3.3,3.6,2,3.25,3.8,2,3.25,3.8,2,3.3,3.6,1.95,3.3,4,2.16,3.41,3.79,2,3.25,4,2.1,3.3,3.6,2.15,3.3,3.9,1.91,3.4,4
3/11/2012,Swansea,Chelsea,D,,,,,4.5,3.6,1.8,4.5,3.6,1.75,4.5,3.6,1.75,4.2,3.5,1.8,5,3.75,1.67,4.63,3.8,1.85,4.2,3.75,1.8,4.8,3.8,1.73,4.8,3.6,1.85,5,3.8,1.67
3/11/2012,Tottenham,Wigan,A,,,,,1.5,4.33,6.5,1.44,4.33,7,1.44,4.33,7,1.4,4.4,7.3,1.44,4.33,7,1.5,4.56,7.45,1.44,4.33,7,1.4,4.5,7.5,1.53,4.4,7,1.4,4.5,7.5
3/11/2012,West Ham,Man City,D,,,,,5,3.8,1.7,5,3.8,1.65,5,3.8,1.65,4.7,3.6,1.7,5,3.75,1.67,5.18,3.98,1.74,4.8,3.8,1.7,4.5,3.8,1.73,5.2,4,1.73,4.5,3.75,1.73
4/11/2012,Liverpool,Newcastle,D,,,,,1.57,4,6,1.6,4,6,1.6,4,6,1.55,3.9,5.6,1.57,3.75,6,1.54,4.39,6.89,1.55,4,6,1.57,4,6,1.57,4.2,6.5,1.62,3.8,5.5
4/11/2012,QPR,Reading,D,,,,,1.8,3.6,4.5,1.85,3.5,4.1,1.85,3.5,4.1,1.95,3.35,3.7,1.83,3.5,4.33,1.83,3.86,4.68,1.83,3.6,4.2,1.83,3.75,4,1.83,3.8,4.6,1.83,3.5,4.33
5/11/2012,West Brom,Southampton,H,,,,,1.73,3.75,4.75,1.75,3.6,5.25,1.75,3.6,5.25,1.75,3.5,4.5,1.75,3.75,4.5,1.76,4.07,4.82,1.75,3.4,5,1.67,3.8,5,1.73,4,5,1.7,3.6,5
10/11/2012,Arsenal,Fulham,D,,,,,1.53,4.2,6,1.57,4.1,6.25,1.57,4.1,6.25,1.5,4,6.1,1.5,4,6.5,1.56,4.4,6.48,1.57,3.5,7,1.5,4.33,6.25,1.57,4.3,6.5,1.57,4,5.5
10/11/2012,Aston Villa,Man United,A,,,,,7,4.5,1.44,7,4,1.48,7,4,1.48,6.1,4,1.5,6.5,4,1.5,7.1,4.69,1.5,7,4,1.5,6.5,4.33,1.5,7,4.6,1.5,6,4.33,1.5
10/11/2012,Everton,Sunderland,H,,,,,1.44,4.2,8,1.48,3.9,7.25,1.48,3.9,7.25,1.55,3.9,5.6,1.5,4,7,1.48,4.46,8.21,1.5,3.75,7.5,1.44,4,8,1.45,4.4,7.5,1.44,4,8
