Chelsea;Everton;D;3
Liverpool;QPR;H;14
Man City;Norwich;D;2
Newcastle;Arsenal;A;-14
Southampton;Stoke;D;0
Swansea;Fulham;D;7
Tottenham;Sunderland;D;6
West Brom;Man United;A;-9
West Ham;Reading;D;2
Wigan;Aston Villa;A;-10
