18.08.2012;Arsenal;Sunderland;0;0
18.08.2012;Fulham;Norwich;5;0
18.08.2012;Newcastle;Tottenham;2;1
18.08.2012;QPR;Swansea;0;5
18.08.2012;Reading;Stoke;1;1
18.08.2012;West Brom;Liverpool;3;0
18.08.2012;West Ham;Aston Villa;1;0
19.08.2012;Man City;Southampton;3;2
19.08.2012;Wigan;Chelsea;0;2
20.08.2012;Everton;Man United;1;0
22.08.2012;Chelsea;Reading;4;2
25.08.2012;Aston Villa;Everton;1;3
25.08.2012;Chelsea;Newcastle;2;0
25.08.2012;Man United;Fulham;3;2
25.08.2012;Norwich;QPR;1;1
25.08.2012;Southampton;Wigan;0;2
25.08.2012;Swansea;West Ham;3;0
25.08.2012;Tottenham;West Brom;1;1
26.08.2012;Liverpool;Man City;2;2
26.08.2012;Stoke;Arsenal;0;0
01.09.2012;Man City;QPR;3;1
01.09.2012;Swansea;Sunderland;2;2
01.09.2012;Tottenham;Norwich;1;1
01.09.2012;West Brom;Everton;2;0
01.09.2012;West Ham;Fulham;3;0
01.09.2012;Wigan;Stoke;2;2
02.09.2012;Liverpool;Arsenal;0;2
02.09.2012;Newcastle;Aston Villa;1;1
02.09.2012;Southampton;Man United;2;3
15.09.2012;Arsenal;Southampton;6;1
15.09.2012;Aston Villa;Swansea;2;0
15.09.2012;Fulham;West Brom;3;0
15.09.2012;Man United;Wigan;4;0
15.09.2012;Norwich;West Ham;0;0
15.09.2012;QPR;Chelsea;0;0
15.09.2012;Stoke;Man City;1;1
15.09.2012;Sunderland;Liverpool;1;1
16.09.2012;Reading;Tottenham;1;3
17.09.2012;Everton;Newcastle;2;2
22.09.2012;Chelsea;Stoke;1;0
22.09.2012;Southampton;Aston Villa;4;1
22.09.2012;Swansea;Everton;0;3
22.09.2012;West Brom;Reading;1;0
22.09.2012;West Ham;Sunderland;1;1
22.09.2012;Wigan;Fulham;1;2
23.09.2012;Liverpool;Man United;1;2
23.09.2012;Man City;Arsenal;1;1
23.09.2012;Newcastle;Norwich;1;0
23.09.2012;Tottenham;QPR;2;1
29.09.2012;Arsenal;Chelsea;1;2
29.09.2012;Everton;Southampton;3;1
29.09.2012;Fulham;Man City;1;2
29.09.2012;Man United;Tottenham;2;3
29.09.2012;Norwich;Liverpool;2;5
29.09.2012;Reading;Newcastle;2;2
29.09.2012;Stoke;Swansea;2;0
29.09.2012;Sunderland;Wigan;1;0
30.09.2012;Aston Villa;West Brom;1;1
01.10.2012;QPR;West Ham;1;2
06.10.2012;Chelsea;Norwich;4;1
06.10.2012;Man City;Sunderland;3;0
06.10.2012;Swansea;Reading;2;2
06.10.2012;West Brom;QPR;3;2
06.10.2012;West Ham;Arsenal;1;3
06.10.2012;Wigan;Everton;2;2
07.10.2012;Liverpool;Stoke;0;0
07.10.2012;Newcastle;Man United;0;3
07.10.2012;Southampton;Fulham;2;2
07.10.2012;Tottenham;Aston Villa;2;0
20.10.2012;Fulham;Aston Villa;1;0
20.10.2012;Liverpool;Reading;1;0
20.10.2012;Man United;Stoke;4;2
20.10.2012;Norwich;Arsenal;1;0
20.10.2012;Swansea;Wigan;2;1
20.10.2012;Tottenham;Chelsea;2;4
20.10.2012;West Brom;Man City;1;2
20.10.2012;West Ham;Southampton;4;1
