total,bet,net,inst,actual,predicted,probability,oddsH,oddsD,oddsA
11.4,Make bet on home team!,11.4,1,H,H,0.15,1.57,3.75,6.5
-8.6,Make bet on home team!,-20,2,D,H,0.565,2.1,3.4,3.5
19.4,Make bet on away team!,28.0,3,A,A,0.709,2.88,3.4,2.4
-0.6,Make bet on away team!,-20,4,H,A,0.975,2.5,3.25,2.88
-20.6,Make bet on away team!,-20,5,H,A,0.968,2.5,3.25,2.88
-12.6,Make bet on home team!,8.0,6,H,H,0.029,1.4,4.5,8.5
-32.6,Make bet on away team!,-20,7,H,A,0.967,2.88,3.25,2.5
-52.6,Make bet on away team!,-20,8,H,A,0.981,3.8,3.4,2
-12.6,Make bet on away team!,40.0,9,A,A,0.924,2.38,3.3,3
-6.8,Make bet on home team!,5.8,10,H,H,0,1.29,5.5,11
-26.8,Make bet on home team!,-20,11,D,H,0.596,1.83,3.6,4.33
-46.8,Make bet on away team!,-20,12,H,A,1,6,3.75,1.62
-38.0,Make bet on home team!,8.8,13,H,H,0.003,1.44,4.33,7.5
-58.0,Make bet on a draw!,-20,14,H,D,0.596,1.73,3.4,5.5
-78.0,Make bet on home team!,-20,15,A,H,0.331,1.83,3.5,4.5
-98.0,Make bet on away team!,-20,16,D,A,0.996,2.75,3.3,2.6
-82.0,Make bet on home team!,16.0,17,H,H,0.559,1.8,3.6,4.5
-75.4,Make bet on away team!,6.6,18,A,A,1,9,5,1.33
-95.4,Make bet on away team!,-20,19,H,A,0.947,2.4,3.4,2.88
-69.4,Make bet on away team!,26.0,20,A,A,0.991,3,3.4,2.3
-51.2,Make bet on home team!,18.2,21,H,H,0.016,1.91,3.6,4
-71.2,Make bet on away team!,-20,22,H,A,0.999,5,3.6,1.73
-91.2,Make bet on home team!,-20,23,D,H,0.016,1.4,4.5,8.5
-84.6,Make bet on home team!,6.6,24,H,H,0.001,1.33,5,10
-104.6,Make bet on away team!,-20,25,H,A,0.944,2.4,3.4,2.9
-124.6,Make bet on home team!,-20,26,D,H,0.589,1.83,3.6,4.33
-144.6,Make bet on home team!,-20,27,A,H,0.003,1.29,5.5,11
-130.0,Make bet on home team!,14.6,28,H,H,0.248,1.73,3.75,4.75
-150.0,Make bet on away team!,-20,29,D,A,1,6,3.75,1.62
-170.0,Make bet on away team!,-20,30,H,A,0.777,2,3.4,3.8
-190.0,Make bet on a draw!,-20,31,A,D,0.635,2.2,3.25,3.4
-148.0,Make bet on away team!,42.0,32,A,A,0.564,2.3,3.4,3.1
-143.6,Make bet on home team!,4.4,33,H,H,0,1.22,6,15
-127.0,Make bet on away team!,16.6,34,A,A,0.999,4.5,3.5,1.83
-147.0,Make bet on away team!,-20,35,H,A,0.891,1.83,3.5,4.5
-133.0,Make bet on home team!,14.0,36,H,H,0.537,1.7,3.75,5
-153.0,Make bet on home team!,-20,37,D,H,0,1.22,6.5,12
-173.0,Make bet on away team!,-20,38,H,A,1,5.5,4.2,1.57
-193.0,Make bet on a draw!,-20,39,H,D,0.977,2.63,3.25,2.75
-151.0,Make bet on away team!,42.0,40,A,A,0.982,2.3,3.4,3.1
-171.0,Make bet on away team!,-20,41,H,A,0.648,2.88,3.4,2.4
-163.0,Make bet on home team!,8.0,42,H,H,0.01,1.4,4.5,8.5
-155.8,Make bet on away team!,7.2,43,A,A,1,9,4.75,1.36
-118.2,Make bet on away team!,37.6,44,A,A,0.945,2.4,3.4,2.88
-83.2,Make bet on away team!,35.0,45,A,A,0.912,2.6,3.3,2.75
-78.2,Make bet on home team!,5.0,46,H,H,0,1.25,6,12
-11.6,Make bet on a draw!,66.6,47,D,D,0.518,1.44,4.33,7.5
-31.6,Make bet on away team!,-20,48,D,A,0.923,3,3.3,2.4
-20.2,Make bet on home team!,11.4,49,H,H,0.482,1.57,4,6
-40.2,Make bet on away team!,-20,50,D,A,0.994,3.3,3.4,2.2
-60.2,Make bet on a draw!,-20,51,H,D,0.781,1.91,3.6,4
-32.2,Make bet on home team!,28.0,52,H,H,0.64,2.4,3.4,2.88
-28.8,Make bet on home team!,3.4,53,H,H,0,1.17,7.5,15
-48.8,Make bet on away team!,-20,54,D,A,0.974,2.2,3.3,3.4
-32.2,Make bet on home team!,16.6,55,H,H,0.505,1.83,3.5,4.5
15.8,Make bet on a draw!,48.0,56,D,D,0.889,3.5,3.4,2.1
26.4,Make bet on home team!,10.6,57,H,H,0.012,1.53,4.2,6
6.4,Make bet on home team!,-20,58,A,H,0,1.29,5.5,11
28.4,Make bet on away team!,22.0,59,A,A,0.991,3.5,3.4,2.1
33.4,Make bet on home team!,5.0,60,H,H,0,1.25,5.5,13
13.4,Make bet on away team!,-20,61,H,A,0.91,2.1,3.4,3.5
-6.6,Make bet on away team!,-20,62,H,A,1,9,4.75,1.36
2.2,Make bet on away team!,8.8,63,A,A,1,7,4.5,1.44
12.8,Make bet on away team!,10.6,64,A,A,1,6,4.2,1.53
-7.2,Make bet on home team!,-20,65,D,H,0.254,1.5,4.2,6.5
-27.2,Make bet on a draw!,-20,66,H,D,0.892,1.91,3.5,4
-47.2,Make bet on away team!,-20,67,H,A,0.877,2.1,3.4,3.5
-42.8,Make bet on home team!,4.4,68,H,H,0,1.22,6.5,13
-62.8,Make bet on home team!,-20,69,A,H,0,1.25,6,12
-82.8,Make bet on home team!,-20,70,D,H,0.242,2,3.6,3.6
-102.8,Make bet on away team!,-20,71,D,A,0.942,2.3,3.3,3.2
-122.8,Make bet on away team!,-20,72,H,A,0.947,2.1,3.4,3.5
-142.8,Make bet on away team!,-20,73,D,A,0.92,2.2,3.3,3.4
-124.6,Make bet on home team!,18.2,74,H,H,0.347,1.91,3.6,4
-111.2,Make bet on home team!,13.4,75,H,H,0.179,1.67,3.75,5.5
-131.2,Make bet on away team!,-20,76,H,A,0.998,4,3.6,1.91
-151.2,Make bet on home team!,-20,77,A,H,0.137,1.44,4.33,7.5
-171.2,Make bet on home team!,-20,78,D,H,0,1.3,5,11
-166.8,Make bet on away team!,4.4,79,A,A,1,12,6.5,1.22
-106.8,Make bet on away team!,60.0,80,A,A,0.959,1.91,3.5,4
-90.2,Make bet on home team!,16.6,81,H,H,0.293,1.83,3.5,4.5
-70.2,Make bet on away team!,20.0,82,A,A,0.978,3.8,3.4,2
-90.2,Make bet on away team!,-20,83,D,A,0.999,4.33,3.6,1.83
-110.2,Make bet on away team!,-20,84,D,A,0.744,2,3.5,3.75
-50.2,Make bet on a draw!,60.0,85,D,D,0.74,1.53,4,6.5
-2.2,Make bet on a draw!,48.0,86,D,D,0.695,2.1,3.4,3.5
-22.2,Make bet on away team!,-20,87,H,A,0.986,2.8,3.4,2.5
-14.2,Make bet on home team!,8.0,88,H,H,0.009,1.4,4.5,8.5
-7.0,Make bet on home team!,7.2,89,H,H,0.003,1.36,5,8
15.0,Make bet on home team!,22.0,90,H,H,0.133,2.1,3.5,3.4
-5.0,Make bet on home team!,-20,91,A,H,0.379,1.62,4,5.5
-25.0,Make bet on away team!,-20,92,D,A,0.986,2.75,3.25,2.6
-6.8,Make bet on away team!,18.2,93,A,A,0.998,4,3.6,1.91
-26.8,Make bet on home team!,-20,94,A,H,0.05,1.5,4.33,6.5
-46.8,Make bet on home team!,-20,95,D,H,0,1.22,6.5,12
-66.8,Make bet on away team!,-20,96,D,A,1,4.2,3.75,1.83
-86.8,Make bet on away team!,-20,97,D,A,0.981,2,3.5,3.75
-70.2,Make bet on home team!,16.6,98,H,H,0.11,1.83,3.6,4.33
-66.8,Make bet on home team!,3.4,99,H,H,0,1.17,7,17
-53.4,Make bet on away team!,13.4,100,A,A,0.995,5,4,1.67
-73.4,Make bet on away team!,-20,101,H,A,0.943,1.83,3.75,4.2
-93.4,Make bet on away team!,-20,102,D,A,0.999,5,3.75,1.7
-55.8,Make bet on away team!,37.6,103,A,A,0.974,2.4,3.5,2.88
-75.8,Make bet on a draw!,-20,104,H,D,0.886,2.1,3.5,3.4
-69.8,Make bet on home team!,6.0,105,H,H,0.001,1.3,5.5,10
-45.8,Make bet on home team!,24.0,106,H,H,0.396,2.2,3.5,3.2
-43.2,Make bet on home team!,2.6,107,H,H,0,1.13,9,19
-63.2,Make bet on a draw!,-20,108,H,D,0.948,2.2,3.4,3.25
-83.2,Make bet on away team!,-20,109,D,A,0.874,2.38,3.5,2.88
-74.4,Make bet on away team!,8.8,110,A,A,1,7,4.5,1.44
-94.4,Make bet on away team!,-20,111,H,A,0.985,3.4,3.5,2.1
-86.4,Make bet on home team!,8.0,112,H,H,0.009,1.4,4.5,8.5
-73.0,Make bet on away team!,13.4,113,A,A,0.991,5,4,1.67
-93.0,Make bet on a draw!,-20,114,H,D,0.525,1.57,4,6
