total,bet,net,inst,actual,predicted,probability,oddsH,oddsD,oddsA
97.2,Don't make bet!,0,85,D,A,0.086,5.25,3.8,1.75
106.0,Make bet on home team!,8.8,86,H,H,0.999,1.44,4.75,8
146.0,Make bet on away team!,40.0,87,A,A,0.615,2.45,3.5,3
126.0,Make bet on home team!,-20,88,D,H,0.973,2.38,3.4,3.25
178.0,Make bet on a draw!,52.0,89,D,D,0.748,1.95,3.6,4.2
228.0,Make bet on away team!,50.0,90,A,A,0.246,2.2,3.5,3.5
274.0,Make bet on a draw!,46.0,91,D,D,0.904,2.1,3.3,4
282.0,Make bet on home team!,8.0,92,H,H,1,1.4,5,9
262.0,Make bet on a draw!,-20,93,A,D,0.601,1.83,3.75,4.75
242.0,Make bet on away team!,-20,94,D,A,0.434,1.95,3.75,4
242.0,Don't make bet!,0,95,A,A,0.037,4.5,3.8,1.85
252.0,Make bet on home team!,10.0,96,H,H,0.998,1.5,4.5,7.5
273.0,Make bet on away team!,21.0,97,A,A,0.159,3.9,3.6,2.05
279.0,Make bet on home team!,6.0,98,H,H,1,1.3,5.75,12
259.0,Make bet on a draw!,-20,99,H,D,0.595,2.2,3.4,3.6
239.0,Make bet on a draw!,-20,100,A,D,0.775,3.4,3.4,2.3
257.2,Make bet on away team!,18.2,101,A,A,0.154,4.5,3.6,1.91
301.2,Make bet on a draw!,44.0,102,D,D,0.66,2.8,3.2,2.8
309.2,Make bet on home team!,8.0,103,H,H,1,1.4,5.5,8
309.2,Don't make bet!,0,104,A,A,0.034,6,4.33,1.6
289.2,Make bet on a draw!,-20,105,H,D,0.817,1.7,4,5.5
294.2,Make bet on home team!,5.0,106,H,H,1,1.25,7,12
274.2,Make bet on home team!,-20,107,A,H,1,1.33,5.5,11
274.2,Don't make bet!,0,108,A,A,0.006,6,4.6,1.55
330.2,Make bet on a draw!,56.0,109,D,D,0.963,1.75,3.8,5.25
310.2,Make bet on home team!,-20,110,A,H,0.973,1.8,3.8,4.75
316.0,Make bet on home team!,5.8,111,H,H,1,1.29,6,12
316.0,Don't make bet!,0,112,D,A,0.015,4.5,3.9,1.83
329.4,Make bet on home team!,13.4,113,H,H,0.972,1.67,4,5.75
381.4,Make bet on a draw!,52.0,114,D,D,0.594,2.15,3.6,3.6
