Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,B365H,B365D,B365A,FTR
15/08/09,Aston Villa,Wigan,average,average,1,1,0.0,0.0,0.0,0.0,1.67,3.6,5.5,A
15/08/09,Blackburn,Man City,average,average,2,2,0.0,0.0,0.0,0.0,3.6,3.25,2.1,A
15/08/09,Bolton,Sunderland,average,average,2,2,0.0,0.0,0.0,0.0,2.25,3.25,3.25,A
15/08/09,Chelsea,Hull,average,average,2,2,0.0,0.0,0.0,0.0,1.17,6.5,21,H
15/08/09,Everton,Arsenal,average,average,2,2,0.0,0.0,0.0,0.0,3.2,3.25,2.3,A
15/08/09,Portsmouth,Fulham,average,average,2,2,0.0,0.0,0.0,0.0,2.63,3.2,2.75,A
15/08/09,Stoke,Burnley,average,average,2,2,0.0,0.0,0.0,0.0,1.91,3.3,4.33,H
15/08/09,Wolves,West Ham,average,average,2,2,0.0,0.0,0.0,0.0,2.63,3.3,2.7,A
16/08/09,Man United,Birmingham,average,average,2,2,0.0,0.0,0.0,0.0,1.2,6,17,H
16/08/09,Tottenham,Liverpool,average,average,2,2,0.0,0.0,0.0,0.0,3.2,3.25,2.3,H
18/08/09,Sunderland,Chelsea,good,good,1,1,20.0,26.0,13.0,12.0,6.5,4,1.53,A
18/08/09,Wigan,Wolves,good,poor,2,3,14.0,19.0,7.0,11.0,1.73,3.6,5.25,A
19/08/09,Birmingham,Portsmouth,poor,poor,3,3,6.0,16.0,4.0,4.0,2,3.3,4,H
19/08/09,Burnley,Man United,poor,good,3,2,9.0,26.0,5.0,17.0,9.5,5,1.33,H
19/08/09,Hull,Tottenham,poor,good,3,2,7.0,17.0,3.0,11.0,3.75,3.5,2,A
19/08/09,Liverpool,Stoke,poor,good,3,2,6.0,12.0,3.0,5.0,1.25,5.5,13,H
22/08/09,Arsenal,Portsmouth,good,poor,2,3,15.0,12.5,9.0,4.0,1.17,7,19,H
22/08/09,Birmingham,Stoke,average,average,2,2,7.5,9.0,4.5,4.0,2.3,3.2,3.25,D
22/08/09,Hull,Bolton,poor,poor,4,4,8.0,11.0,5.0,3.0,2.6,3.25,2.8,H
22/08/09,Man City,Wolves,good,average,3,3,8.0,14.0,5.0,7.0,1.33,4.5,12,H
22/08/09,Sunderland,Blackburn,average,poor,3,4,12.0,17.0,8.0,9.0,2.1,3.25,3.75,H
22/08/09,Wigan,Man United,average,average,3,3,16.0,22.0,6.0,13.0,6.5,4,1.53,A
23/08/09,Burnley,Everton,average,poor,3,4,8.5,8.0,3.5,5.0,3.4,3.3,2.2,H
23/08/09,Fulham,Chelsea,good,good,3,1,9.0,23.0,3.0,10.5,6.5,3.8,1.57,A
23/08/09,West Ham,Tottenham,good,good,4,2,16.0,17.5,13.0,11.5,3.1,3.25,2.38,A
24/08/09,Liverpool,Aston Villa,average,poor,4,5,12.0,11.0,8.0,5.0,1.44,4.2,8,A
29/08/09,Blackburn,West Ham,poor,average,5,4,17.5,16.5,7.0,10.5,2.2,3.3,3.5,D
29/08/09,Bolton,Liverpool,poor,average,6,4,15.5,15.0,6.5,9.33,7,4,1.53,A
29/08/09,Chelsea,Burnley,good,good,1,2,19.33,8.33,8.33,3.67,1.14,8,21,H
29/08/09,Man United,Arsenal,good,good,3,3,20.0,17.0,13.0,12.5,2.2,3.3,3.5,H
29/08/09,Stoke,Sunderland,average,good,4,3,10.33,10.67,3.67,7.0,2.38,3.25,3.2,H
29/08/09,Tottenham,Birmingham,good,average,2,5,17.33,7.67,11.0,5.0,1.36,4.75,9,H
29/08/09,Wolves,Hull,average,average,6,6,12.67,9.33,5.33,5.0,2.1,3.3,3.6,D
30/08/09,Aston Villa,Fulham,average,average,6,6,9.0,6.5,4.5,2.0,1.73,3.6,5.25,H
30/08/09,Everton,Wigan,poor,average,8,6,12.5,16.0,8.0,6.33,1.73,3.6,5.25,H
30/08/09,Portsmouth,Man City,poor,good,8,4,11.33,12.0,4.0,8.0,6.5,3.8,1.57,A
12/9/2009,Blackburn,Wolves,poor,average,7,5,18.0,15.5,7.67,8.25,1.83,3.5,4.5,H
12/9/2009,Liverpool,Burnley,good,good,4,4,17.75,7.0,10.5,2.75,1.2,6.5,15,H
12/9/2009,Man City,Arsenal,good,good,2,4,12.0,14.33,8.0,9.33,2.88,3.25,2.5,H
12/9/2009,Portsmouth,Bolton,poor,poor,7,7,11.25,13.0,4.5,6.0,2.6,3.2,2.8,A
12/9/2009,Stoke,Chelsea,average,good,3,1,11.0,21.25,4.5,10.5,9,4.5,1.4,A
12/9/2009,Sunderland,Hull,average,average,5,6,10.25,8.25,6.75,4.75,1.75,3.5,5,H
12/9/2009,Tottenham,Man United,good,good,2,3,18.0,17.5,11.75,10.75,3.1,3.4,2.3,A
12/9/2009,Wigan,West Ham,poor,average,7,6,15.0,14.67,6.5,8.67,2.3,3.25,3.25,H
13/09/09,Birmingham,Aston Villa,average,good,6,5,8.5,9.0,5.25,4.33,3.4,3.25,2.25,A
13/09/09,Fulham,Everton,average,average,7,7,6.33,17.0,2.33,10.0,2.6,3.2,2.8,H
19/09/09,Arsenal,Wigan,average,average,5,5,15.5,14.4,9.25,6.4,1.25,5.5,13,H
19/09/09,Aston Villa,Portsmouth,good,poor,3,8,9.75,13.2,4.5,5.8,1.4,4.2,10,H
19/09/09,Bolton,Stoke,average,average,7,4,13.25,9.6,6.0,4.0,2.1,3.25,3.75,D
19/09/09,Burnley,Sunderland,average,good,5,3,6.8,9.6,2.8,6.2,2.88,3.25,2.5,H
19/09/09,Hull,Birmingham,average,poor,6,6,7.8,9.0,4.8,5.6,2.4,3.25,3,A
19/09/09,West Ham,Liverpool,poor,good,7,3,14.0,19.6,7.75,11.6,6.5,4,1.53,A
20/09/09,Chelsea,Tottenham,good,good,1,2,20.6,16.6,10.4,10.8,1.5,4,7,H
20/09/09,Everton,Blackburn,average,average,8,7,14.25,16.75,9.0,8.25,1.8,3.3,5,H
20/09/09,Man United,Man City,good,good,2,2,17.4,11.5,11.2,7.5,1.57,4,6,H
20/09/09,Wolves,Fulham,poor,average,8,7,14.2,8.25,7.6,3.75,2.5,3.25,2.88,H
26/09/09,Birmingham,Bolton,average,average,6,8,9.83,12.8,6.17,5.8,2.2,3.25,3.4,A
26/09/09,Blackburn,Aston Villa,average,good,8,3,14.8,9.2,7.4,4.6,3.1,3.25,2.38,H
26/09/09,Fulham,Arsenal,average,average,7,4,7.2,17.0,3.2,9.6,6.5,4,1.53,A
26/09/09,Liverpool,Hull,good,poor,3,8,19.5,9.17,12.17,5.83,1.14,7.5,23,H
26/09/09,Portsmouth,Everton,poor,good,9,7,13.83,15.0,6.83,9.4,4.2,3.4,1.91,A
26/09/09,Stoke,Man United,average,good,5,2,9.67,18.0,4.33,11.17,8.5,4.5,1.4,A
26/09/09,Tottenham,Burnley,average,average,3,4,15.33,7.33,9.67,2.83,1.33,5,10,H
26/09/09,Wigan,Chelsea,average,good,7,1,13.33,21.33,6.17,11.17,10,5,1.33,H
27/09/09,Sunderland,Wolves,average,average,4,6,9.33,13.83,6.0,7.0,1.73,3.6,5,H
28/09/09,Man City,West Ham,good,poor,3,8,11.2,12.8,7.2,7.2,1.44,4.33,7.5,H
3/10/2009,Bolton,Tottenham,good,average,6,2,12.33,15.71,5.5,10.0,3.8,3.6,1.95,D
3/10/2009,Burnley,Birmingham,average,average,5,7,7.71,10.14,3.43,6.14,2.3,3.25,3.2,H
3/10/2009,Hull,Wigan,poor,good,9,5,8.86,13.57,5.43,6.57,2.88,3.3,2.5,H
3/10/2009,Man United,Sunderland,good,good,1,4,17.29,9.43,10.57,6.29,1.2,6.5,15,D
3/10/2009,Wolves,Portsmouth,average,poor,9,12,14.0,14.14,7.57,7.57,2,3.4,3.8,A
4/10/2009,Arsenal,Blackburn,good,good,6,9,16.5,14.83,8.67,7.33,1.2,6.5,15,H
4/10/2009,Chelsea,Liverpool,good,good,2,4,20.29,19.86,10.71,12.43,2.1,3.3,3.6,H
