Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,FormH,FormA,PositionH,PositionA,HS,AS,HST,AST
30/01/13,Man United,Southampton,H,1.25,6.5,14,,,,,11,21,7,10
30/01/13,Norwich,Tottenham,D,4.75,3.75,1.83,,,,,8,12,4,7
30/01/13,Reading,Chelsea,D,7.5,4.5,1.5,,,,,5,14,2,5
2/2/2013,Arsenal,Stoke,H,1.44,4.5,9,,,,,15,6,9,2
2/2/2013,Everton,Aston Villa,D,1.4,5,9,,,,,22,8,13,4
2/2/2013,Fulham,Man United,A,5.5,4.2,1.65,,,,,15,13,8,8
2/2/2013,Newcastle,Chelsea,H,4,3.6,2,,,,,19,12,13,6
2/2/2013,QPR,Norwich,D,1.95,3.6,4.33,,,,,15,14,7,9
2/2/2013,Reading,Sunderland,H,2.5,3.4,3,,,,,9,10,5,6
2/2/2013,West Ham,Swansea,H,2.4,3.4,3.2,,,,,18,11,9,7
2/2/2013,Wigan,Southampton,D,2.2,3.5,3.5,,,,,5,15,3,7
3/2/2013,Man City,Liverpool,D,1.83,3.9,4.5,,,,,9,21,5,12
3/2/2013,West Brom,Tottenham,A,3.6,3.4,2.2,,,,,4,21,3,13
9/2/2013,Chelsea,Wigan,H,1.36,5.5,9.5,,,,,25,13,17,10
9/2/2013,Norwich,Fulham,D,2.3,3.4,3.4,,,,,15,7,8,5
9/2/2013,Southampton,Man City,H,5.75,4,1.67,,,,,13,7,7,4
9/2/2013,Stoke,Reading,H,1.91,3.5,4.6,,,,,13,5,10,4
9/2/2013,Sunderland,Arsenal,A,4.5,3.6,1.91,,,,,12,18,7,9
9/2/2013,Swansea,QPR,H,1.83,3.75,4.75,,,,,13,14,12,8
9/2/2013,Tottenham,Newcastle,H,1.67,4,5.75,,,,,16,9,9,7
10/2/2013,Aston Villa,West Ham,H,2.63,3.4,2.88,,,,,7,13,2,7
10/2/2013,Man United,Everton,H,1.75,3.9,5,,,,,10,9,6,8
11/2/2013,Liverpool,West Brom,A,1.4,5,9,,,,,23,4,14,3
17/02/13,Liverpool,Swansea,H,1.57,4.4,6,,,,,33,4,18,3
23/02/13,Arsenal,Aston Villa,H,1.33,5.5,11,,,,,24,5,14,3
23/02/13,Fulham,Stoke,H,2.2,3.3,3.75,,,,,20,7,9,2
23/02/13,Norwich,Everton,H,3.8,3.5,2.1,,,,,10,11,9,5
23/02/13,QPR,Man United,A,7,4.33,1.53,,,,,12,13,5,8
23/02/13,Reading,Wigan,A,2.63,3.4,2.88,,,,,7,14,1,8
23/02/13,West Brom,Sunderland,H,2.05,3.5,4,,,,,17,10,7,6
24/02/13,Man City,Chelsea,H,1.95,3.6,4.33,,,,,15,4,11,1
24/02/13,Newcastle,Southampton,H,2.2,3.5,3.2,,,,,11,11,5,7
25/02/13,West Ham,Tottenham,A,3.6,3.5,2.15,,,,,8,25,6,16
2/3/2013,Chelsea,West Brom,H,1.4,5,9,,,,,25,8,19,4
2/3/2013,Everton,Reading,H,1.38,5,10,,,,,18,12,12,6
2/3/2013,Man United,Norwich,H,1.33,5.5,11,,,,,13,1,10,1
2/3/2013,Southampton,QPR,A,1.85,3.8,4.5,,,,,17,5,9,3
2/3/2013,Stoke,West Ham,A,2.15,3.25,4,,,,,10,10,2,7
2/3/2013,Sunderland,Fulham,D,2.4,3.3,3.3,,,,,12,7,6,4
2/3/2013,Swansea,Newcastle,H,2.1,3.6,3.75,,,,,10,14,7,7
2/3/2013,Wigan,Liverpool,A,4.5,3.75,1.85,,,,,15,8,11,7
3/3/2013,Tottenham,Arsenal,H,2.3,3.6,3.25,,,,,11,10,5,6
4/3/2013,Aston Villa,Man City,A,7.5,4.5,1.44,,,,,10,20,5,12
9/3/2013,Norwich,Southampton,D,2.5,3.4,3,,,,,3,15,2,7
9/3/2013,QPR,Sunderland,H,2.25,3.4,3.5,,,,,15,7,8,3
9/3/2013,Reading,Aston Villa,A,2.45,3.4,3.1,,,,,10,18,4,7
9/3/2013,West Brom,Swansea,H,2.45,3.3,3.2,,,,,12,9,6,4
10/3/2013,Liverpool,Tottenham,H,1.95,3.8,4,,,,,10,15,4,9
10/3/2013,Newcastle,Stoke,H,1.83,3.7,4.8,,,,,14,7,6,4
16/03/13,Aston Villa,QPR,H,2.3,3.4,3.4,,,,,10,18,6,11
16/03/13,Everton,Man City,H,3.9,3.6,2.05,,,,,11,17,5,11
16/03/13,Man United,Reading,H,1.17,9,19,,,,,17,5,8,1
16/03/13,Southampton,Liverpool,H,4.2,3.8,1.91,,,,,17,8,12,6
16/03/13,Stoke,West Brom,D,2.5,3.3,3.1,,,,,13,9,5,5
16/03/13,Swansea,Arsenal,A,3.4,3.5,2.25,,,,,9,15,2,11
17/03/13,Chelsea,West Ham,H,1.4,5,9,,,,,24,15,14,9
17/03/13,Sunderland,Norwich,D,2.05,3.5,4,,,,,16,7,8,3
17/03/13,Tottenham,Fulham,A,1.5,4.5,7.5,,,,,12,6,6,2
17/03/13,Wigan,Newcastle,H,2.3,3.4,3.4,,,,,13,9,10,4
30/03/13,Arsenal,Reading,H,1.25,6.5,15,,,,,23,4,14,2
30/03/13,Everton,Stoke,H,1.57,3.9,7.5,,,,,15,10,9,5
30/03/13,Man City,Newcastle,H,1.33,5.5,11,,,,,19,5,11,1
30/03/13,Southampton,Chelsea,H,3.5,3.5,2.2,,,,,13,7,8,4
30/03/13,Sunderland,Man United,A,6,4,1.65,,,,,9,10,4,6
30/03/13,Swansea,Tottenham,A,3.4,3.4,2.3,,,,,11,9,3,7
30/03/13,West Ham,West Brom,H,2.3,3.4,3.4,,,,,14,17,8,11
30/03/13,Wigan,Norwich,H,1.95,3.6,4.33,,,,,13,9,6,5
31/03/13,Aston Villa,Liverpool,A,5,4,1.75,,,,,10,16,7,12
1/4/2013,Fulham,QPR,H,2,3.6,4,,,,,9,19,5,11
6/4/2013,Norwich,Swansea,D,2.63,3.3,2.9,,,,,12,16,9,9
6/4/2013,Reading,Southampton,A,3.3,3.6,2.25,,,,,8,12,3,4
6/4/2013,Stoke,Aston Villa,A,2.1,3.4,4,,,,,6,11,2,8
6/4/2013,West Brom,Arsenal,A,4.1,3.7,1.95,,,,,16,11,5,6
7/4/2013,Chelsea,Sunderland,H,1.36,5,11,,,,,14,7,7,3
7/4/2013,Liverpool,West Ham,D,1.36,5.5,9,,,,,19,10,12,4
7/4/2013,Newcastle,Fulham,H,2.1,3.5,3.8,,,,,20,5,10,3
7/4/2013,QPR,Wigan,D,2.38,3.4,3.25,,,,,6,16,2,10
7/4/2013,Tottenham,Everton,D,2.2,3.4,3.6,,,,,19,9,10,5
8/4/2013,Man United,Man City,A,2.3,3.5,3.3,,,,,16,9,7,5
13/04/13,Arsenal,Norwich,H,1.25,6.5,14,,,,,10,5,7,5
13/04/13,Aston Villa,Fulham,D,2.3,3.3,3.5,,,,,15,8,7,3
13/04/13,Everton,QPR,H,1.44,4.75,8,,,,,14,8,10,5
13/04/13,Reading,Liverpool,D,8,4.75,1.45,,,,,7,26,5,15
13/04/13,Southampton,West Ham,D,1.91,3.75,4.2,,,,,15,6,11,4
14/04/13,Newcastle,Sunderland,A,1.95,3.5,4.5,,,,,15,8,9,7
14/04/13,Stoke,Man United,A,7,3.9,1.6,,,,,13,9,4,3
16/04/13,Arsenal,Everton,D,1.75,3.9,5,,,,,10,10,6,5
17/04/13,Fulham,Chelsea,A,4.75,3.8,1.8,,,,,11,13,7,10
17/04/13,Man City,Wigan,H,1.25,6.5,14,,,,,10,8,4,6
17/04/13,West Ham,Man United,D,5.5,3.9,1.7,,,,,10,15,4,9
20/04/13,Fulham,Arsenal,A,5,4,1.75,,,,,7,10,5,7
20/04/13,Norwich,Reading,H,1.75,3.8,5.25,,,,,19,14,9,6
20/04/13,QPR,Stoke,A,2.25,3.4,3.5,,,,,25,11,11,4
20/04/13,Sunderland,Everton,H,3.4,3.4,2.3,,,,,8,8,4,5
20/04/13,Swansea,Southampton,D,2.38,3.5,3.1,,,,,14,9,7,5
