Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,MatchRating,GoalDiff,B365H,B365D,B365A,FTR
14/08/10,Aston Villa,West Ham,average,average,1,1,0.0,0.0,0.0,0.0,D,0,2,3.3,4,H
14/08/10,Blackburn,Everton,average,average,2,2,0.0,0.0,0.0,0.0,D,0,2.88,3.25,2.5,H
14/08/10,Bolton,Fulham,average,average,2,2,0.0,0.0,0.0,0.0,D,0,2.2,3.3,3.4,D
14/08/10,Chelsea,West Brom,average,average,3,3,0.0,0.0,0.0,0.0,D,0,1.17,7,17,H
14/08/10,Sunderland,Birmingham,average,average,3,3,0.0,0.0,0.0,0.0,D,0,2.1,3.3,3.6,D
14/08/10,Tottenham,Man City,average,average,3,3,0.0,0.0,0.0,0.0,D,0,2.4,3.3,3,D
14/08/10,Wigan,Blackpool,average,average,3,3,0.0,0.0,0.0,0.0,D,0,1.83,3.5,4.5,A
14/08/10,Wolves,Stoke,average,average,3,3,0.0,0.0,0.0,0.0,D,0,2.3,3.25,3.2,H
15/08/10,Liverpool,Arsenal,average,average,3,3,0.0,0.0,0.0,0.0,D,0,2.5,3.25,2.88,D
16/08/10,Man United,Newcastle,average,average,3,3,0.0,0.0,0.0,0.0,D,0,1.25,5.5,15,H
21/08/10,Arsenal,Blackpool,average,good,2,1,14.0,9.0,7.0,7.0,A,-4,1.17,7,19,H
21/08/10,Birmingham,Blackburn,average,good,3,2,13.0,7.0,7.0,2.0,D,-1,2.2,3.25,3.4,H
21/08/10,Everton,Wolves,poor,good,4,2,17.0,13.0,12.0,7.0,D,-2,1.5,4,7,D
21/08/10,Stoke,Tottenham,poor,average,4,3,10.0,22.0,6.0,18.0,D,-1,3.4,3.3,2.2,A
21/08/10,West Brom,Sunderland,poor,average,4,3,10.0,6.0,4.0,2.0,A,-6,2.5,3.25,2.88,H
21/08/10,West Ham,Bolton,poor,average,4,3,12.0,13.0,2.0,9.0,D,-3,2.25,3.3,3.25,A
21/08/10,Wigan,Chelsea,poor,good,4,2,11.0,18.0,6.0,13.0,A,-10,15,6,1.22,A
22/08/10,Fulham,Man United,average,good,4,3,12.0,18.0,7.0,10.0,D,-3,6,4,1.57,D
22/08/10,Newcastle,Aston Villa,poor,good,6,3,7.0,23.0,3.0,11.0,A,-6,3.2,3.25,2.3,H
23/08/10,Man City,Liverpool,average,average,5,5,11.0,7.0,7.0,4.0,D,0,2.38,3.25,3.1,H
28/08/10,Blackburn,Arsenal,average,average,3,2,7.0,20.0,2.0,11.5,A,-6,6,4,1.57,A
28/08/10,Blackpool,Fulham,average,average,4,5,6.0,14.0,4.0,7.5,D,-2,3.2,3.25,2.3,D
28/08/10,Chelsea,Stoke,good,poor,2,6,14.0,12.5,10.5,8.0,H,14,1.11,9,23,H
28/08/10,Man United,West Ham,average,poor,3,6,16.0,14.5,8.5,6.0,H,8,1.14,8,19,H
28/08/10,Tottenham,Wigan,average,poor,3,6,14.5,14.0,12.0,9.0,H,11,1.25,5.75,13,A
28/08/10,Wolves,Newcastle,average,average,3,4,11.0,13.5,5.5,8.5,D,-2,2.4,3.2,3.1,D
29/08/10,Aston Villa,Everton,average,poor,5,6,13.0,15.5,6.0,9.0,D,-2,2.5,3.25,2.88,H
29/08/10,Bolton,Birmingham,average,average,5,5,12.5,11.5,8.5,7.0,D,1,2.1,3.3,3.6,D
29/08/10,Liverpool,West Brom,poor,average,7,6,10.0,10.5,5.5,4.5,D,2,1.22,6,15,H
29/08/10,Sunderland,Man City,poor,average,7,5,8.0,9.5,3.0,5.0,A,-4,4.5,3.5,1.83,H
11/9/2010,Arsenal,Bolton,good,good,2,4,18.0,12.0,10.67,8.33,H,5,1.25,5.5,13,H
11/9/2010,Everton,Man United,poor,good,8,3,15.33,16.67,9.0,9.33,A,-8,4.2,3.4,1.91,D
11/9/2010,Fulham,Wolves,average,good,7,5,13.33,9.0,7.33,4.33,D,-1,1.83,3.5,4.5,H
11/9/2010,Man City,Blackburn,average,average,6,7,9.33,9.67,5.67,3.67,D,3,1.33,5,10,D
11/9/2010,Newcastle,Blackpool,average,average,6,6,12.67,8.67,7.67,4.33,H,5,1.57,4,6,A
11/9/2010,West Brom,Tottenham,average,average,8,7,11.67,13.67,4.67,10.33,A,-6,3.75,3.25,2.1,D
11/9/2010,West Ham,Chelsea,poor,good,10,2,12.0,14.33,4.67,9.0,A,-22,10,5,1.33,A
11/9/2010,Wigan,Sunderland,average,average,8,7,13.67,9.33,7.67,3.33,A,-9,2.5,3.25,2.88,D
12/9/2010,Birmingham,Liverpool,good,average,6,7,10.67,10.33,6.33,6.0,D,3,3.1,3.2,2.4,D
13/09/10,Stoke,Aston Villa,poor,good,9,5,11.33,12.67,6.33,6.0,D,-2,2.5,3.25,2.88,H
18/09/10,Aston Villa,Bolton,average,average,5,6,12.0,10.75,6.0,7.75,D,-2,1.8,3.6,4.5,D
18/09/10,Blackburn,Fulham,poor,good,7,5,8.25,13.25,3.25,7.0,D,-2,2,3.3,4,D
18/09/10,Everton,Newcastle,average,average,9,7,17.25,13.5,10.25,9.0,D,-3,1.62,3.75,6,A
18/09/10,Stoke,West Ham,average,poor,8,10,13.5,12.25,7.75,5.25,H,7,1.91,3.4,4.2,D
18/09/10,Sunderland,Arsenal,average,good,6,2,8.0,19.25,3.0,11.5,A,-10,5.5,3.7,1.67,D
18/09/10,Tottenham,Wolves,average,average,6,6,14.25,7.75,10.0,3.75,D,0,1.4,4.5,8.5,H
18/09/10,West Brom,Birmingham,average,good,7,5,12.5,11.75,5.5,5.5,A,-7,2.25,3.3,3.25,H
19/09/10,Chelsea,Blackpool,good,average,1,4,15.0,8.25,9.0,4.25,H,16,1.1,9,26,H
19/09/10,Man United,Liverpool,good,average,3,6,15.75,11.25,9.0,6.5,H,8,1.7,3.5,5.5,H
19/09/10,Wigan,Man City,average,average,7,6,14.5,12.0,6.75,7.75,A,-11,5,3.6,1.73,A
25/09/10,Arsenal,West Brom,good,average,2,4,18.6,13.2,10.6,6.4,H,14,1.22,6,15,A
25/09/10,Birmingham,Wigan,average,average,6,8,10.6,13.4,5.0,6.0,H,10,1.83,3.5,4.5,D
25/09/10,Blackpool,Blackburn,average,average,5,7,8.8,8.4,4.2,3.6,D,-3,3.2,3.25,2.3,A
25/09/10,Fulham,Everton,good,poor,5,9,12.4,15.0,6.4,8.8,H,4,2.75,3.2,2.63,D
25/09/10,Liverpool,Sunderland,average,good,7,6,10.4,9.6,5.4,3.4,D,-3,1.44,4.33,7.5,D
25/09/10,Man City,Chelsea,average,good,4,1,11.8,17.4,7.2,10.2,A,-16,3.6,3.3,2.1,H
25/09/10,West Ham,Tottenham,poor,average,10,4,12.4,15.4,5.4,10.2,A,-12,3.5,3.4,2.1,H
26/09/10,Bolton,Man United,average,good,6,2,11.2,15.8,7.6,8.6,A,-8,7.5,4,1.5,D
26/09/10,Newcastle,Stoke,average,average,6,9,12.6,12.6,8.0,6.8,H,5,1.91,3.4,4.2,A
26/09/10,Wolves,Aston Villa,poor,average,8,6,7.2,12.2,3.4,6.0,D,1,2.88,3.25,2.5,A
2/10/2010,Birmingham,Everton,average,average,6,10,10.5,15.0,4.83,8.5,D,2,2.88,3.1,2.63,A
2/10/2010,Stoke,Blackburn,good,good,6,5,11.83,9.17,6.0,4.33,D,-2,2.25,3.2,3.4,H
2/10/2010,Sunderland,Man United,average,good,6,2,9.67,15.17,3.0,8.17,A,-7,5,3.5,1.75,D
2/10/2010,Tottenham,Aston Villa,average,average,5,4,15.67,11.83,10.33,6.33,D,3,1.91,3.5,4,H
2/10/2010,West Brom,Bolton,good,average,4,6,12.17,11.83,6.17,7.83,D,-2,2.1,3.25,3.75,D
2/10/2010,West Ham,Fulham,average,good,9,5,14.0,12.33,7.0,5.67,A,-10,2.25,3.25,3.3,D
2/10/2010,Wigan,Wolves,average,poor,9,9,14.0,8.33,6.67,4.83,A,-8,2.25,3.25,3.3,H
3/10/2010,Chelsea,Arsenal,good,average,1,3,17.0,19.5,9.17,10.83,H,10,1.73,3.6,5,H
3/10/2010,Liverpool,Blackpool,average,average,8,7,10.83,9.17,5.33,4.83,D,2,1.33,5,10,A
3/10/2010,Man City,Newcastle,good,average,3,7,11.17,12.33,7.0,7.83,H,4,1.44,4,8.5,H
16/10/10,Arsenal,Birmingham,poor,poor,4,8,18.57,9.86,10.0,4.57,H,10,1.29,5.5,11,H
16/10/10,Aston Villa,Chelsea,average,good,5,1,12.0,16.14,6.0,8.71,A,-21,5,3.6,1.73,D
16/10/10,Bolton,Stoke,average,good,7,5,11.57,12.71,7.43,6.71,D,-1,2.2,3.2,3.5,H
16/10/10,Fulham,Tottenham,average,good,6,4,13.0,16.14,5.57,10.29,D,-1,2.88,3.25,2.5,A
16/10/10,Man United,West Brom,good,good,3,4,14.43,12.86,7.57,6.57,D,1,1.25,5.75,12,D
16/10/10,Newcastle,Wigan,average,average,8,7,11.71,15.43,7.29,8.14,H,8,1.83,3.5,4.5,D
16/10/10,Wolves,West Ham,poor,good,10,10,7.43,13.71,4.14,6.71,D,0,2.25,3.2,3.4,D
17/10/10,Blackpool,Man City,average,good,5,2,9.43,10.86,5.14,6.71,A,-14,5.5,4,1.62,A
17/10/10,Everton,Liverpool,average,poor,10,10,14.43,12.0,8.14,6.0,H,4,2.4,3.25,3,H
18/10/10,Blackburn,Sunderland,average,average,8,8,8.86,10.29,4.29,3.71,D,-2,2.1,3.3,3.6,D
23/10/10,Birmingham,Blackpool,poor,average,9,6,9.38,10.25,4.5,5.13,D,-2,1.83,3.6,4.33,H
23/10/10,Chelsea,Wolves,average,poor,1,9,15.75,7.63,8.38,4.25,H,15,1.13,8.5,19,H
23/10/10,Sunderland,Aston Villa,average,average,7,5,11.0,11.88,4.13,5.88,D,1,2.4,3.25,3,H
23/10/10,Tottenham,Everton,good,good,3,7,15.88,13.75,9.75,7.88,D,0,2.1,3.25,3.75,D
23/10/10,West Brom,Fulham,good,average,5,8,12.13,12.75,6.0,5.5,D,2,2.2,3.25,3.4,H
23/10/10,West Ham,Newcastle,good,poor,10,9,13.13,11.38,6.75,6.88,D,-1,2.38,3.25,3.1,A
