inst,actual,predicted,probability,oddsH,oddsD,oddsA
1,H,D,0.042,2,3.3,4
2,A,D,0.118,2,3.4,3.8
3,A,H,0.999,1.44,4.33,7.5
4,A,A,0.755,5,3.6,1.73
5,H,H,0.942,1.36,4.75,9
6,D,D,0.028,2.2,3.2,3.5
7,H,H,0.642,2,3.4,4
8,H,H,1,1.14,7.5,21
9,A,D,0.333,1.8,3.5,4.5
10,A,A,0.997,10,5,1.33
11,H,H,0.974,1.36,4.5,10
12,H,D,0.413,6.5,3.8,1.57
13,A,D,0.421,2.38,3.25,3.1
14,H,D,0.102,2.1,3.25,3.75
15,D,D,0.05,2.5,3.3,2.88
16,D,D,0.194,3,3.25,2.4
17,H,D,0.056,2.1,3.3,3.6
18,A,D,0.032,2.25,3.3,3.3
19,H,H,1,1.22,6,15
20,A,A,0.942,7.5,4.5,1.4
21,D,A,0.535,3.3,3.25,2.25
22,H,H,0.991,1.44,4.33,7.5
23,H,H,1,1.22,6,15
24,D,D,0.174,3.6,3.4,2.1
25,H,H,1,1.25,5.5,13
26,A,D,0.2,3.6,3.3,2.1
27,H,H,1,1.25,5.75,13
28,D,H,0.899,1.4,4.33,9
29,H,D,0.48,1.53,3.8,7
30,H,D,0.167,2.2,3.2,3.5
31,A,A,0.7,3.6,3.3,2.1
32,H,D,0.29,2.2,3.2,3.5
33,H,D,0.229,1.73,3.6,5
34,D,A,0.987,7.5,4.33,1.44
35,A,D,0.235,3.1,3.25,2.38
36,H,H,0.988,1.67,3.75,5.5
37,A,D,0.062,1.8,3.6,4.5
38,D,H,0.521,1.53,3.8,7
39,H,D,0.206,2,3.25,4
40,A,D,0.283,1.83,3.5,4.33
41,A,A,1,12,5,1.3
42,D,A,0.786,7,4.2,1.5
43,A,A,0.988,8.5,4.5,1.4
44,H,H,0.999,1.4,4.75,8
45,H,D,0.053,2.4,3.25,3
46,H,H,1,1.2,6,17
47,A,D,0.045,2.1,3.3,3.6
48,D,D,0.388,3.8,3.4,2
49,A,D,0.029,2.5,3.25,2.88
50,H,H,0.994,1.3,5.25,11
51,H,H,0.977,1.33,4.75,11
52,H,H,1,1.22,6,15
53,A,D,0.175,2.88,3.25,2.5
54,A,D,0.162,5,3.8,1.7
55,A,A,0.997,2.63,3.2,2.75
56,D,D,0.158,3.3,3.3,2.25
57,H,H,0.539,1.8,3.5,4.5
58,H,D,0.388,3.6,3.3,2.1
59,D,D,0.209,4.5,3.5,1.83
60,D,H,0.774,1.44,4.33,7.5
61,H,D,0.309,2,3.4,3.8
62,A,D,0.368,1.73,3.6,5
63,H,D,0.027,2,3.4,3.8
64,D,A,0.896,6.5,4,1.53
65,D,H,0.998,1.29,5,13
66,H,H,0.963,1.4,4.5,8.5
67,D,D,0.198,2.3,3.25,3.2
68,H,H,1,1.14,8,19
69,D,D,0.086,2.25,3.3,3.3
70,H,A,0.926,3.25,3.3,2.25
71,D,D,0.12,1.57,3.8,6.5
72,D,D,0.405,1.73,3.6,5
73,A,D,0.099,2.8,3.25,2.6
74,D,D,0.156,2.1,3.25,3.75
75,A,D,0.575,2.88,3.5,2.4
76,A,D,0.416,2.1,3.25,3.75
77,H,H,0.514,1.62,3.75,6
78,H,A,0.992,4,3.6,1.91
79,A,A,0.579,5.5,3.75,1.67
80,H,A,0.721,6.5,4,1.53
81,H,H,0.986,1.33,5,10
82,A,D,0.392,3.5,3.4,2.1
83,D,D,0.601,2,3.5,3.75
84,D,D,0.207,1.53,4,6.5
85,A,D,0.085,2.38,3.4,3
86,H,H,0.965,1.5,4.2,7
87,H,D,0.059,1.83,3.6,4.33
88,D,D,0.154,2.2,3.25,3.4
89,H,H,0.662,1.62,3.75,6
90,A,D,0.277,5.5,4,1.62
91,H,H,1,1.14,8,21
92,H,H,0.928,1.36,4.5,10
93,H,H,0.66,1.5,4.2,7
94,H,D,0.264,1.83,3.6,4.33
95,H,D,0.105,2.38,3.25,3.1
96,D,D,0.299,3.6,3.3,2.1
97,H,H,0.999,1.29,5.5,10
98,H,D,0.147,2.38,3.25,3.1
99,A,A,0.957,4,3.8,1.83
100,A,A,0.985,9.5,4.75,1.36
101,H,D,0.364,3.5,3.4,2.1
102,D,D,0.144,1.8,3.6,4.5
103,A,D,0.32,2.1,3.3,3.6
104,A,D,0.262,2,3.4,3.8
105,H,H,1,1.2,7,13
106,A,D,0.475,1.57,4,6
107,H,D,0.173,2.25,3.3,3.3
108,H,A,0.787,7,4.2,1.5
109,H,H,1,1.1,10,23
110,H,H,0.995,1.29,5.5,11
111,D,A,0.558,6.5,3.8,1.57
112,H,H,1,1.13,8,23
113,D,D,0.105,4,3.6,1.91
114,H,D,0.178,2.25,3.4,3.25
