Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,MatchRating,GoalDiff,B365H,B365D,B365A,FTR
15/08/09,Aston Villa,Wigan,average,average,1,1,0,0,0,0,D,0,1.67,3.6,5.5,A
15/08/09,Blackburn,Man City,average,average,2,2,0,0,0,0,D,0,3.6,3.25,2.1,A
15/08/09,Bolton,Sunderland,average,average,2,2,0,0,0,0,D,0,2.25,3.25,3.25,A
15/08/09,Chelsea,Hull,average,average,2,2,0,0,0,0,D,0,1.17,6.5,21,H
15/08/09,Everton,Arsenal,average,average,2,2,0,0,0,0,D,0,3.2,3.25,2.3,A
15/08/09,Portsmouth,Fulham,average,average,2,2,0,0,0,0,D,0,2.63,3.2,2.75,A
15/08/09,Stoke,Burnley,average,average,2,2,0,0,0,0,D,0,1.91,3.3,4.33,H
15/08/09,Wolves,West Ham,average,average,2,2,0,0,0,0,D,0,2.63,3.3,2.7,A
16/08/09,Man United,Birmingham,average,average,2,2,0,0,0,0,D,0,1.2,6,17,H
16/08/09,Tottenham,Liverpool,average,average,2,2,0,0,0,0,D,0,3.2,3.25,2.3,H
18/08/09,Sunderland,Chelsea,good,good,1,1,20,26,13,12,D,0,6.5,4,1.53,A
18/08/09,Wigan,Wolves,good,poor,2,3,14,19,7,11,H,4,1.73,3.6,5.25,A
19/08/09,Birmingham,Portsmouth,poor,poor,3,3,6,16,4,4,D,0,2,3.3,4,H
19/08/09,Burnley,Man United,poor,good,3,2,9,26,5,17,D,-3,9.5,5,1.33,H
19/08/09,Hull,Tottenham,poor,good,3,2,7,17,3,11,D,-2,3.75,3.5,2,A
19/08/09,Liverpool,Stoke,poor,good,3,2,6,12,3,5,D,-3,1.25,5.5,13,H
22/08/09,Arsenal,Portsmouth,good,poor,2,3,15,12.5,9,4,H,7,1.17,7,19,H
22/08/09,Birmingham,Stoke,average,average,2,2,7.5,9,4.5,4,D,2,2.3,3.2,3.25,D
22/08/09,Hull,Bolton,poor,poor,4,4,8,11,5,3,A,-4,2.6,3.25,2.8,H
22/08/09,Man City,Wolves,good,average,3,3,8,14,5,7,D,3,1.33,4.5,12,H
22/08/09,Sunderland,Blackburn,average,poor,3,4,12,17,8,9,D,1,2.1,3.25,3.75,H
22/08/09,Wigan,Man United,average,average,3,3,16,22,6,13,D,1,6.5,4,1.53,A
23/08/09,Burnley,Everton,average,poor,3,4,8.5,8,3.5,5,H,4,3.4,3.3,2.2,H
23/08/09,Fulham,Chelsea,good,good,3,1,9,23,3,10.5,D,-2,6.5,3.8,1.57,A
23/08/09,West Ham,Tottenham,good,good,4,2,16,17.5,13,11.5,D,-3,3.1,3.25,2.38,A
24/08/09,Liverpool,Aston Villa,average,poor,4,5,12,11,8,5,H,5,1.44,4.2,8,A
29/08/09,Blackburn,West Ham,poor,average,5,4,17.5,16.5,7,10.5,A,-4,2.2,3.3,3.5,D
29/08/09,Bolton,Liverpool,poor,average,6,4,15.5,15,6.5,9.33,D,-3,7,4,1.53,A
29/08/09,Chelsea,Burnley,good,good,1,2,19.33,8.33,8.33,3.67,H,5,1.14,8,21,H
29/08/09,Man United,Arsenal,good,good,3,3,20,17,13,12.5,D,-3,2.2,3.3,3.5,H
29/08/09,Stoke,Sunderland,average,good,4,3,10.33,10.67,3.67,7,D,-2,2.38,3.25,3.2,H
29/08/09,Tottenham,Birmingham,good,average,2,5,17.33,7.67,11,5,H,6,1.36,4.75,9,H
29/08/09,Wolves,Hull,average,average,6,6,12.67,9.33,5.33,5,D,2,2.1,3.3,3.6,D
30/08/09,Aston Villa,Fulham,average,average,6,6,9,6.5,4.5,2,D,1,1.73,3.6,5.25,H
30/08/09,Everton,Wigan,poor,average,8,6,12.5,16,8,6.33,D,-2,1.73,3.6,5.25,H
30/08/09,Portsmouth,Man City,poor,good,8,4,11.33,12,4,8,A,-8,6.5,3.8,1.57,A
12/9/2009,Blackburn,Wolves,poor,average,7,5,18,15.5,7.67,8.25,D,-1,1.83,3.5,4.5,H
12/9/2009,Liverpool,Burnley,good,good,4,4,17.75,7,10.5,2.75,H,5,1.2,6.5,15,H
12/9/2009,Man City,Arsenal,good,good,2,4,12,14.33,8,9.33,D,-3,2.88,3.25,2.5,H
12/9/2009,Portsmouth,Bolton,poor,poor,7,7,11.25,13,4.5,6,D,-3,2.6,3.2,2.8,A
12/9/2009,Stoke,Chelsea,average,good,3,1,11,21.25,4.5,10.5,A,-9,9,4.5,1.4,A
12/9/2009,Sunderland,Hull,average,average,5,6,10.25,8.25,6.75,4.75,D,3,1.75,3.5,5,H
12/9/2009,Tottenham,Man United,good,good,2,3,18,17.5,11.75,10.75,D,1,3.1,3.4,2.3,A
12/9/2009,Wigan,West Ham,poor,average,7,6,15,14.67,6.5,8.67,A,-6,2.3,3.25,3.25,H
13/09/09,Birmingham,Aston Villa,average,good,6,5,8.5,9,5.25,4.33,D,-3,3.4,3.25,2.25,A
13/09/09,Fulham,Everton,average,average,7,7,6.33,17,2.33,10,D,2,2.6,3.2,2.8,H
19/09/09,Arsenal,Wigan,average,average,5,5,15.5,14.4,9.25,6.4,H,9,1.25,5.5,13,H
19/09/09,Aston Villa,Portsmouth,good,poor,3,8,9.75,13.2,4.5,5.8,H,10,1.4,4.2,10,H
19/09/09,Bolton,Stoke,average,average,7,4,13.25,9.6,6,4,D,0,2.1,3.25,3.75,D
19/09/09,Burnley,Sunderland,average,good,5,3,6.8,9.6,2.8,6.2,A,-9,2.88,3.25,2.5,H
19/09/09,Hull,Birmingham,average,poor,6,6,7.8,9,4.8,5.6,A,-5,2.4,3.25,3,A
19/09/09,West Ham,Liverpool,poor,good,7,3,14,19.6,7.75,11.6,A,-6,6.5,4,1.53,A
20/09/09,Chelsea,Tottenham,good,good,1,2,20.6,16.6,10.4,10.8,H,4,1.5,4,7,H
20/09/09,Everton,Blackburn,average,average,8,7,14.25,16.75,9,8.25,A,-5,1.8,3.3,5,H
20/09/09,Man United,Man City,good,good,2,2,17.4,11.5,11.2,7.5,D,2,1.57,4,6,H
20/09/09,Wolves,Fulham,poor,average,8,7,14.2,8.25,7.6,3.75,D,-2,2.5,3.25,2.88,H
26/09/09,Birmingham,Bolton,average,average,6,8,9.83,12.8,6.17,5.8,D,1,2.2,3.25,3.4,A
26/09/09,Blackburn,Aston Villa,average,good,8,3,14.8,9.2,7.4,4.6,A,-9,3.1,3.25,2.38,H
26/09/09,Fulham,Arsenal,average,average,7,4,7.2,17,3.2,9.6,A,-12,6.5,4,1.53,A
26/09/09,Liverpool,Hull,good,poor,3,8,19.5,9.17,12.17,5.83,H,15,1.14,7.5,23,H
26/09/09,Portsmouth,Everton,poor,good,9,7,13.83,15,6.83,9.4,A,-6,4.2,3.4,1.91,A
26/09/09,Stoke,Man United,average,good,5,2,9.67,18,4.33,11.17,A,-11,8.5,4.5,1.4,A
26/09/09,Tottenham,Burnley,average,average,3,4,15.33,7.33,9.67,2.83,H,7,1.33,5,10,H
