num;Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA;BSH;BSD;BSA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA
2;E0;10.11.2010;Man City;Man United;0;0;D;0;0;D;6;7;4;4;10;12;8;5;0;2;0;0;Þub.63;Mar.25;Þub.75;02.May;03.Þub;02.Tem;02.Haz;Mar.25;02.Haz;Þub.65;03.Mar;02.Nis;Þub.62;03.Mar;Þub.62;Þub.55;03.Þub;Þub.55;02.Tem;03.Oca;02.Tem;Þub.63;03.Mar;Þub.75;Þub.62;03.Mar;Þub.88;Þub.62;03.Þub;Þub.62;37;02.Tem;Þub.57;Mar.34;Mar.22;Þub.98;Þub.75;36;02.Ara;02.Mar;Oca.82;Oca.76;31;0;01.Eyl;Oca.82;Þub.16;Oca.98
2;E0;10.11.2010;Newcastle;Blackburn;1;2;A;0;1;A;9;7;3;5;16;15;4;1;3;4;0;0;Oca.91;03.Nis;04.Þub;Oca.91;03.Mar;03.Eyl;01.Eyl;03.Mar;4;01.Eyl;03.Mar;03.Tem;2;03.Nis;Mar.75;01.Eyl;Mar.25;Mar.75;Oca.95;03.Mar;4;Oca.95;03.Nis;04.Þub;Oca.95;03.May;04.Þub;Oca.95;Mar.25;03.Aðu;36;2;Oca.94;Mar.61;Mar.37;04.Mar;Mar.96;36;02.May;Oca.96;Oca.89;Oca.81;20;0;Oca.48;01.Nis;3;02.Aðu
2;E0;10.11.2010;West Ham;West Brom;2;2;D;1;1;D;8;14;5;6;13;5;6;7;3;0;0;0;02.Mar;Mar.25;03.Þub;Þub.25;Mar.25;03.May;02.Mar;Mar.25;3;02.Þub;03.Þub;3;Þub.38;Mar.25;3;Þub.25;03.Þub;02.Eyl;Þub.38;03.Mar;02.Eyl;02.Mar;03.Nis;03.Þub;02.Mar;03.Nis;Mar.25;02.Mar;Mar.25;3;36;Þub.38;Þub.29;Mar.44;Mar.27;Mar.47;03.Oca;34;Oca.99;Oca.93;Oca.94;Oca.84;25;0;Oca.67;Oca.61;02.Nis;Þub.24
2;E0;10.11.2010;Wigan;Liverpool;1;1;D;0;1;A;10;8;8;3;7;10;5;4;0;2;0;0;Nis.75;03.Haz;Oca.75;04.May;03.Tem;01.Tem;04.May;03.May;Oca.75;04.Mar;03.Nis;Oca.75;04.May;Mar.75;Oca.73;04.Þub;03.Nis;Oca.75;04.Aðu;03.Haz;Oca.73;5;03.May;01.Aðu;5;Mar.75;01.Aðu;04.May;03.Nis;01.Aðu;36;5;Nis.62;Mar.82;Mar.58;Oca.81;Oca.76;32;Þub.32;Þub.19;01.Tem;Oca.64;20;0;03.Haz;Mar.34;Oca.33;01.Mar
2;E0;10.11.2010;Wolves;Arsenal;0;2;A;0;1;A;14;12;7;8;7;14;5;2;1;2;0;0;05.May;03.Haz;Oca.67;05.May;03.Haz;01.Haz;5;03.Haz;Oca.67;04.Haz;03.May;Oca.65;6;Mar.75;Oca.57;05.May;03.May;Oca.57;6;Mar.75;Oca.57;6;03.Haz;Oca.67;6;03.Aðu;Oca.67;05.May;03.Haz;Oca.62;36;06.Mar;May.71;03.Aðu;Mar.63;01.Tem;Oca.63;33;Oca.81;Oca.74;Þub.14;02.Nis;19;0;Nis.33;Mar.95;Oca.25;Oca.23
2;E0;13.11.2010;Aston Villa;Man United;2;2;D;0;0;D;12;16;6;10;11;9;9;7;3;4;0;0;04.May;03.Haz;01.Aðu;Nis.25;Mar.45;01.Aðu;Nis.25;03.Nis;Oca.83;03.Tem;03.Mar;01.Eyl;04.May;03.May;01.Aðu;04.Þub;03.Nis;Oca.75;04.May;03.Mar;Oca.85;Nis.33;03.May;Oca.83;5;03.Haz;Oca.83;04.May;Mar.25;Oca.85;37;05.May;Nis.75;Mar.72;Mar.49;Oca.85;Oca.77;36;Þub.16;02.Mar;Oca.83;Oca.75;20;0;03.Aðu;Mar.33;Oca.34;01.Mar
2;E0;13.11.2010;Man City;Birmingham;0;0;D;0;0;D;21;5;11;3;15;11;6;4;2;0;0;0;01.Nis;04.May;08.May;Oca.38;04.May;07.May;01.Nis;Nis.25;8;01.Nis;04.Oca;7;01.Nis;04.May;8;Oca.35;04.Þub;8;Oca.44;Nis.33;7;01.Nis;04.Þub;9;01.Nis;04.Haz;9;01.Nis;Nis.33;8;36;Oca.46;Oca.42;Nis.62;Nis.28;09.May;Aðu.15;33;Oca.88;Oca.77;02.Aðu;2;19;-1.25;02.Kas;02.Nis;01.Eyl;Oca.83
2;E0;13.11.2010;Newcastle;Fulham;0;0;D;0;0;D;13;10;7;8;11;19;5;5;2;2;0;0;Oca.91;03.Nis;04.Þub;Oca.85;03.Nis;4;Oca.95;03.Þub;4;01.Eyl;03.Mar;03.Tem;Oca.91;03.Nis;4;01.Eyl;Mar.25;Mar.75;Oca.91;03.Mar;04.Þub;2;03.Þub;4;2;03.Nis;Nis.33;Oca.91;03.Mar;4;37;02.May;Oca.95;Mar.43;Mar.33;Nis.33;04.Oca;35;02.Tem;Oca.99;Oca.86;Oca.79;21;0;Oca.44;01.Nis;3;02.Aðu
2;E0;13.11.2010;Stoke;Liverpool;2;0;H;0;0;D;14;10;7;6;14;10;4;3;2;3;0;1;Mar.75;Mar.25;02.Oca;04.Oca;03.Nis;Oca.85;03.Haz;03.Þub;02.May;03.Tem;03.Mar;01.Eyl;Mar.75;03.Nis;2;Mar.75;Mar.25;01.Eyl;03.Haz;03.Oca;Þub.15;Mar.75;03.Nis;2;4;03.Nis;02.May;03.Haz;03.Þub;02.May;37;Mar.97;03.Tem;03.Nis;Mar.25;Þub.19;02.Haz;33;Þub.25;Þub.15;Oca.73;Oca.67;21;0;02.Aðu;Þub.64;01.May;Oca.44
2;E0;13.11.2010;Tottenham;Blackburn;4;2;H;2;0;H;20;12;12;8;11;11;12;6;2;2;0;0;Oca.57;03.Aðu;06.May;01.Haz;Mar.45;6;01.Haz;Mar.75;May.25;Oca.55;03.Tem;05.Nis;Oca.62;Mar.75;05.May;Oca.55;03.Haz;05.May;Oca.62;03.Haz;6;Oca.62;4;May.25;Oca.62;4;06.May;Oca.62;03.May;6;36;Oca.66;Oca.61;4;03.Tem;06.May;May.96;36;Oca.91;Oca.83;02.Þub;Oca.94;18;0;Oca.23;01.Þub;Nis.55;Nis.21
