num;Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA;BSH;BSD;BSA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA
3;E0;13.08.2011;Blackburn;Wolves;1;2;A;1;1;D;16;13;8;4;14;10;12;6;4;2;0;0;02.Þub;03.Þub;03.May;2;03.Mar;03.Haz;02.Oca;03.Þub;03.May;2;03.Mar;03.Mar;2;03.Nis;Mar.75;2;Mar.25;03.Nis;02.Þub;03.Oca;03.May;02.May;03.Nis;03.Haz;Þub.15;03.Nis;03.Haz;2;03.Nis;03.Haz;37;Þub.22;Þub.13;Mar.43;Mar.29;Mar.75;Mar.52;37;02.Haz;Oca.96;Oca.89;Oca.82;18;-0.5;02.Þub;Þub.14;Oca.78;Oca.74
3;E0;13.08.2011;Fulham;Aston Villa;0;0;D;0;0;D;13;7;9;1;10;18;2;3;2;4;0;0;02.Þub;03.Þub;03.May;02.May;03.Mar;Mar.45;02.Oca;03.Þub;03.May;02.Þub;03.Þub;3;02.Þub;03.Mar;03.Mar;02.Oca;03.Þub;03.Þub;02.Þub;03.Þub;03.Nis;02.Oca;03.Mar;03.May;Þub.15;03.Mar;Mar.75;02.Oca;Mar.25;03.Nis;38;02.Þub;02.Ara;Mar.43;Mar.28;Mar.86;Mar.53;34;Þub.21;02.Kas;Oca.77;Oca.69;21;-0.25;Oca.83;01.Aðu;Þub.14;02.Aðu
3;E0;13.08.2011;Liverpool;Sunderland;1;1;D;1;0;H;11;15;4;6;17;12;6;3;4;4;0;0;Oca.57;03.Haz;7;Oca.45;Mar.85;07.May;01.May;Mar.75;7;01.Nis;04.Oca;7;01.May;Mar.75;07.May;01.Nis;4;07.May;Oca.57;Mar.75;06.May;01.May;03.Eyl;07.May;Oca.53;4;07.May;01.May;Mar.75;7;37;Oca.57;01.May;04.Þub;Mar.92;08.Nis;07.Mar;37;Oca.92;Oca.85;02.Oca;Oca.92;21;-1;Oca.92;Oca.88;02.Þub;Oca.98
3;E0;13.08.2011;Newcastle;Arsenal;0;0;D;0;0;D;6;9;1;4;9;11;2;5;3;5;0;1;Mar.75;Mar.25;02.Oca;Mar.65;Mar.25;2;Mar.75;03.Þub;2;03.Tem;03.Mar;01.Eyl;Mar.75;03.Nis;2;03.Nis;03.Nis;Oca.95;Mar.75;03.Þub;02.May;4;03.May;Oca.91;03.Aðu;03.Nis;02.Oca;Mar.75;Mar.25;02.May;36;4;Mar.68;Mar.52;Mar.35;Þub.15;02.May;34;Oca.89;01.Aðu;02.Oca;Oca.98;20;0.5;Oca.84;Oca.79;Þub.16;02.Oca
3;E0;13.08.2011;QPR;Bolton;0;4;A;0;1;A;13;13;7;7;9;16;3;2;1;2;1;0;02.Nis;Mar.25;3;Þub.25;Mar.25;03.May;02.Mar;03.Þub;3;02.Mar;03.Þub;02.Aðu;Þub.38;Mar.25;3;02.Mar;03.Þub;02.Aðu;02.Nis;03.Oca;03.Oca;02.Mar;Mar.25;03.Þub;Þub.38;03.Mar;03.Mar;02.Mar;Mar.25;03.Oca;37;02.Nis;02.Mar;03.Nis;Mar.26;03.Nis;Mar.14;34;Þub.27;Þub.16;Oca.73;Oca.66;19;-0.25;2;Oca.95;Oca.98;Oca.92
3;E0;13.08.2011;Wigan;Norwich;1;1;D;1;1;D;18;13;11;3;11;8;7;3;2;2;0;0;02.Þub;03.Þub;03.May;02.May;Mar.25;03.May;02.Oca;03.Þub;03.May;01.Eyl;03.Mar;03.Tem;2;03.Nis;Mar.75;02.Oca;Mar.25;03.Þub;02.Þub;03.Þub;03.Nis;02.Oca;03.Nis;03.Nis;02.Þub;03.Nis;03.May;2;Mar.25;Mar.75;37;02.Þub;02.Oca;Mar.46;Mar.31;Mar.85;Mar.55;37;Oca.96;Oca.89;Oca.99;Oca.88;19;-0.25;Oca.85;Oca.82;02.Oca;02.May
3;E0;14.08.2011;Stoke;Chelsea;0;0;D;0;0;D;6;20;3;11;12;12;4;6;2;2;0;0;05.May;03.May;01.Tem;May.75;Mar.45;Oca.62;5;03.May;01.Tem;05.Nis;03.Tem;Oca.55;05.May;Mar.75;Oca.62;5;03.Haz;01.Haz;05.May;03.Nis;01.Tem;05.May;03.Haz;Oca.67;05.May;Mar.75;01.Tem;05.May;03.Haz;Oca.62;36;06.Þub;May.54;03.Aðu;Mar.61;Oca.72;Oca.66;33;02.Kas;2;Oca.86;Oca.77;20;0.75;02.Oca;Oca.97;Oca.93;01.Eyl
3;E0;14.08.2011;West Brom;Man United;1;2;A;1;1;D;14;11;8;5;16;9;6;5;3;2;0;0;06.May;4;Oca.53;06.May;03.Aðu;01.May;6;4;01.May;05.Nis;03.Tem;Oca.55;7;4;01.May;06.May;4;Oca.44;7;Mar.75;Oca.53;06.May;4;Oca.53;7;04.Þub;Oca.53;7;04.Þub;Oca.44;36;Tem.25;Haz.66;Nis.33;04.Þub;Oca.56;Oca.51;32;Oca.75;Oca.71;Þub.18;02.Aðu;22;1;Oca.99;Oca.94;Oca.98;Oca.93
3;E0;15.08.2011;Man City;Swansea;4;0;H;0;0;D;26;8;19;5;9;2;7;4;0;0;0;0;Oca.29;5;13;Oca.25;05.May;10;Oca.25;5;12;Oca.22;05.Mar;11;Oca.25;05.May;12;01.Þub;05.May;12;01.Mar;04.May;13;Oca.25;05.May;12;Oca.25;6;13;01.Þub;6;13;35;Oca.29;Oca.26;06.Oca;May.47;15;Ara.43;31;Oca.67;Oca.63;Þub.41;Þub.21;18;-1.5;Oca.88;Oca.83;02.Kas;02.Mar
3;E0;20.08.2011;Arsenal;Liverpool;0;2;A;0;0;D;10;13;6;8;11;6;9;5;2;2;1;0;02.May;Mar.25;02.Eyl;Þub.45;03.Mar;Þub.95;02.May;03.Oca;02.Aðu;02.Mar;03.Þub;02.Aðu;Þub.38;Mar.25;3;02.Nis;03.Oca;Þub.75;02.Haz;03.Þub;Þub.75;02.May;03.Þub;02.Eyl;02.May;03.Ara;3;Þub.62;03.Oca;Þub.75;35;Þub.67;Þub.53;03.Mar;03.Þub;03.Þub;Þub.86;31;02.Kas;02.Mar;Oca.82;Oca.76;20;0;Oca.86;Oca.81;02.Ara;02.May
3;E0;20.08.2011;Aston Villa;Blackburn;3;1;H;2;0;H;9;10;6;6;9;13;5;4;3;0;0;0;Oca.73;03.Nis;05.May;Oca.65;03.May;05.May;01.Tem;03.May;5;01.Tem;03.May;04.Nis;Oca.73;03.May;5;Oca.65;03.May;Nis.75;Oca.75;03.Þub;05.May;Oca.73;03.May;5;Oca.73;03.Haz;05.May;Oca.73;03.May;Nis.75;36;Oca.78;Oca.72;Mar.64;Mar.49;6;05.Þub;36;Oca.97;Oca.86;2;Oca.91;18;-0.75;02.Þub;Oca.98;Oca.93;Oca.89
3;E0;20.08.2011;Chelsea;West Brom;2;1;H;0;1;A;22;6;12;4;12;8;7;4;2;4;0;0;01.Mar;05.May;10;Oca.28;05.May;9;01.Mar;5;9;Oca.25;5;10;Oca.25;05.May;12;Oca.25;5;10;Oca.33;04.Aðu;10;Oca.29;5;11;01.Mar;05.May;11;Oca.29;Nis.75;11;33;Oca.33;Oca.29;May.63;May.28;12;Eki.68;25;01.Haz;Oca.56;Þub.45;02.Mar;21;-1.5;02.Nis;Oca.99;Oca.92;Oca.88
