inst,actual,predicted,error,p,probability,oddsH,oddsD,oddsA
104,1:A,3:D,0.008,0.254,0.262,2,3.4,3.8
105,2:H,2:H,0,1,1,1.2,7,13
106,1:A,3:D,0.002,0.473,0.475,1.57,4,6
107,2:H,3:D,0.111,0.062,0.173,2.25,3.3,3.3
108,2:H,1:A,0.787,0,0.787,7,4.2,1.5
109,2:H,2:H,0,1,1,1.1,10,23
110,2:H,2:H,0,0.995,0.995,1.29,5.5,11
111,3:D,1:A,0.558,0,0.558,6.5,3.8,1.57
112,2:H,2:H,0,1,1,1.13,8,23
113,3:D,3:D,0.103,0.002,0.105,4,3.6,1.91
114,2:H,3:D,0.079,0.099,0.178,2.25,3.4,3.25
