num;Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;SJH;SJD;SJA;VCH;VCD;VCA;BSH;BSD;BSA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;BbAH;BbAHh;BbMxAHH;BbAvAHH;BbMxAHA;BbAvAHA
4;E0;18.08.2012;Arsenal;Sunderland;0;0;D;0;0;D;14;3;4;2;12;8;7;0;0;0;0;0;01.Nis;04.May;08.May;Oca.35;04.Haz;9;Oca.35;04.Haz;9;Oca.35;04.May;07.Mar;01.Nis;04.May;8;Oca.44;Nis.76;Aðu.78;Oca.44;4;8;Oca.36;04.May;09.May;Oca.44;Nis.75;08.May;01.Nis;Nis.33;08.May;39;Oca.44;01.Nis;Nis.89;Nis.47;09.May;Aðu.37;33;Oca.83;Oca.76;Þub.15;02.May;23;-1.25;02.Þub;Oca.96;Oca.96;Oca.91
4;E0;18.08.2012;Fulham;Norwich;5;0;H;2;0;H;11;4;9;2;12;11;6;3;0;0;0;0;01.Aðu;03.Haz;04.May;01.Aðu;03.May;04.Nis;01.Aðu;03.May;04.Nis;01.Aðu;03.Nis;4;01.Aðu;03.May;04.May;Oca.82;Mar.81;04.Aðu;Oca.85;03.Mar;04.May;01.Aðu;03.Haz;04.May;Oca.83;Mar.75;Nis.75;Oca.83;03.May;Nis.33;39;Oca.85;01.Aðu;Mar.82;Mar.59;04.Aðu;Nis.44;35;Oca.95;Oca.89;02.Oca;Oca.92;21;-0.5;Oca.83;01.Aðu;Þub.14;02.Eyl
4;E0;18.08.2012;Newcastle;Tottenham;2;1;H;0;0;D;6;12;4;6;12;8;3;5;2;2;0;0;02.May;03.Nis;Þub.75;02.Haz;03.Mar;Þub.75;02.Haz;03.Mar;Þub.75;02.Nis;03.Þub;02.Tem;02.Haz;03.Mar;02.Tem;Þub.65;Mar.47;Þub.82;02.Tem;3;02.Aðu;02.May;03.Nis;02.Aðu;Þub.62;03.Nis;Þub.75;02.May;03.Nis;02.Tem;39;02.Tem;Þub.55;Mar.47;Mar.32;Þub.85;Þub.73;35;2;Oca.88;02.Oca;Oca.92;23;0;Oca.93;Oca.88;02.Mar;Oca.97
4;E0;18.08.2012;QPR;Swansea;0;5;A;0;1;A;20;12;11;8;11;14;5;3;2;2;0;0;2;03.Nis;03.Aðu;2;03.Nis;03.Haz;2;03.Nis;03.Haz;02.Oca;03.Mar;03.Oca;2;03.Nis;Mar.75;02.May;Mar.53;04.Oca;2;03.Mar;03.Aðu;02.Oca;03.Mar;03.Haz;2;03.May;4;2;03.Nis;03.Haz;39;02.Oca;02.Oca;Mar.55;Mar.37;04.Þub;Mar.76;33;Þub.18;02.Eyl;Oca.81;Oca.73;22;-0.25;01.Aðu;Oca.75;Þub.21;Þub.13
4;E0;18.08.2012;Reading;Stoke;1;1;D;0;1;A;9;6;3;3;9;14;4;3;2;4;0;1;Þub.38;Mar.25;03.Oca;02.Nis;03.Þub;03.Oca;02.Nis;03.Þub;03.Oca;02.Nis;03.Þub;02.Tem;02.Nis;03.Mar;Þub.88;02.Nis;Mar.37;Mar.26;02.Nis;03.Mar;02.Eyl;02.Nis;03.Þub;3;02.Nis;03.Mar;Mar.25;02.Mar;03.Mar;03.Oca;39;Þub.45;Þub.36;03.Nis;Mar.27;Mar.26;03.Mar;33;Þub.28;Þub.18;Oca.76;Oca.67;24;-0.25;02.Tem;02.Oca;Oca.91;Oca.86
4;E0;18.08.2012;West Brom;Liverpool;3;0;H;1;0;H;15;14;10;7;10;11;7;3;1;4;0;1;04.Þub;03.May;Oca.91;04.Oca;03.May;Oca.85;04.Oca;03.May;Oca.85;03.Mar;03.Mar;2;Mar.75;03.May;Oca.95;Nis.39;Mar.59;Oca.94;03.Aðu;03.Mar;2;4;03.Nis;Oca.91;Nis.33;03.Haz;Oca.95;4;03.Nis;Oca.91;39;Nis.38;04.Oca;Mar.61;Mar.44;2;Oca.93;33;Þub.18;02.Aðu;Oca.81;Oca.74;22;0.5;2;Oca.96;Oca.97;Oca.92
4;E0;18.08.2012;West Ham;Aston Villa;1;0;H;1;0;H;8;10;4;6;17;8;6;4;0;1;0;0;02.Þub;03.Mar;03.Nis;Þub.25;03.Mar;03.Mar;Þub.25;03.Mar;03.Mar;Þub.15;03.Mar;3;Þub.25;03.Mar;03.Oca;Þub.26;Mar.49;Mar.43;02.Mar;03.Þub;03.Þub;Þub.25;03.Mar;03.Mar;Þub.25;03.Nis;03.Nis;02.Mar;03.Mar;03.Oca;39;02.Mar;Þub.23;Mar.46;Mar.32;Mar.51;Mar.23;33;02.Oca;02.Mar;Oca.85;Oca.77;25;-0.25;Oca.95;01.Eyl;02.Nis;Oca.97
4;E0;19.08.2012;Man City;Southampton;3;2;H;1;0;H;20;9;15;6;4;6;7;3;1;2;0;0;Oca.17;7;17;Oca.18;Haz.25;16;Oca.18;Haz.25;16;Oca.17;05.Aðu;13;Oca.17;7;15;01.Þub;07.May;19.75;01.Þub;6;15;Oca.17;7;19;01.Þub;7;19;Oca.17;06.May;17;39;Oca.21;Oca.18;Tem.55;Haz.78;19.38;15.Haz;26;Oca.56;01.May;Þub.68;Þub.51;24;-1.75;01.Eyl;Oca.85;02.Aðu;02.Þub
4;E0;19.08.2012;Wigan;Chelsea;0;2;A;0;2;A;12;5;4;3;16;11;7;1;2;2;0;0;6;Mar.75;Oca.62;6;03.Eyl;Oca.55;6;03.Eyl;Oca.55;05.May;03.Eyl;01.May;06.May;03.Aðu;Oca.53;06.May;04.Þub;Oca.65;05.May;03.Haz;Oca.67;06.May;4;Oca.53;06.May;03.Aðu;Oca.65;6;4;Oca.53;39;Haz.75;06.Eyl;4;Mar.84;Oca.67;Oca.58;35;Oca.93;Oca.88;02.May;Oca.93;24;1;01.Eyl;01.Aðu;Þub.16;02.Eyl
4;E0;20.08.2012;Everton;Man United;1;0;H;0;0;D;16;12;7;7;12;11;6;8;1;2;0;0;Nis.33;03.Haz;Oca.83;04.Haz;03.May;Oca.83;04.Haz;03.May;Oca.83;03.Aðu;03.Nis;Oca.85;4;03.Haz;Oca.85;Nis.27;Mar.77;Oca.92;Nis.33;03.Mar;Oca.91;4;03.May;Oca.91;04.Mar;03.Tem;Oca.87;4;03.Nis;Oca.91;36;Nis.45;Nis.18;Mar.71;Mar.47;Oca.91;Oca.88;32;02.Aðu;Oca.97;01.Eyl;Oca.83;20;0.5;02.Mar;Oca.99;Oca.91;Oca.88
