Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,MatchRating,GoalDiff,B365H,B365D,B365A,FTR
13/08/11,Blackburn,Wolves,average,average,1,1,0.0,0.0,0.0,0.0,D,0,2.2,3.2,3.5,A
13/08/11,Fulham,Aston Villa,average,average,2,2,0.0,0.0,0.0,0.0,D,0,2.2,3.2,3.5,D
13/08/11,Liverpool,Sunderland,average,average,3,3,0.0,0.0,0.0,0.0,D,0,1.57,3.6,7,D
13/08/11,Newcastle,Arsenal,average,average,3,3,0.0,0.0,0.0,0.0,D,0,3.75,3.25,2.1,D
13/08/11,QPR,Bolton,average,average,3,3,0.0,0.0,0.0,0.0,D,0,2.4,3.25,3,A
13/08/11,Wigan,Norwich,average,average,3,3,0.0,0.0,0.0,0.0,D,0,2.2,3.2,3.5,D
14/08/11,Stoke,Chelsea,average,average,3,3,0.0,0.0,0.0,0.0,D,0,5.5,3.5,1.7,D
14/08/11,West Brom,Man United,average,average,3,3,0.0,0.0,0.0,0.0,D,0,6.5,4,1.53,A
15/08/11,Man City,Swansea,average,average,3,3,0.0,0.0,0.0,0.0,D,0,1.29,5,13,H
20/08/11,Arsenal,Liverpool,average,average,2,2,9.0,11.0,4.0,4.0,D,0,2.5,3.25,2.9,A
20/08/11,Aston Villa,Blackburn,average,poor,3,4,7.0,16.0,1.0,8.0,D,1,1.73,3.4,5.5,H
20/08/11,Chelsea,West Brom,average,poor,3,4,20.0,14.0,11.0,8.0,D,1,1.3,5.5,10,H
20/08/11,Everton,QPR,average,poor,4,4,0.0,13.0,0.0,7.0,H,4,1.53,3.8,7,A
20/08/11,Sunderland,Newcastle,average,average,3,3,15.0,6.0,6.0,1.0,D,0,2.2,3.25,3.4,A
20/08/11,Swansea,Wigan,poor,average,4,3,8.0,18.0,5.0,11.0,A,-4,2.1,3.3,3.6,D
21/08/11,Bolton,Man City,good,good,2,2,13.0,26.0,7.0,19.0,D,0,4.75,3.5,1.8,A
